condition,aggregation_unit,fold,modification_precision,delete_recall,correct_pair_preservation,macro_delta_f1,micro_delta_f1,beneficial_edit_count,harmful_edit_count,modified_pair_count,modified_rna_count,eligible_rna_count,modified_rna_fraction
AGREEMENT_ZERO_SUPPORT_RULE,unique_fold,0,0.7872340425531915,0.4966442953020134,0.9785637727759914,0.00856885867248501,0.02238407743177373,74,20,94,30,75,0.4
AGREEMENT_ZERO_SUPPORT_RULE,unique_fold,1,0.7846153846153846,0.4180327868852459,0.9808481532147743,0.012167004951985451,0.018237619634284274,51,14,65,22,72,0.3055555555555556
AGREEMENT_ZERO_SUPPORT_RULE,unique_fold,2,0.8538011695906432,0.4147727272727273,0.9760765550239234,0.02088972030987503,0.03019817152793569,146,25,171,26,72,0.3611111111111111
AGREEMENT_ZERO_SUPPORT_RULE,unique_fold,3,0.9431818181818182,0.6974789915966386,0.9940047961630696,0.016017010243340676,0.03798917173252281,83,5,88,24,72,0.3333333333333333
AGREEMENT_ZERO_SUPPORT_RULE,unique_fold,4,0.813953488372093,0.46357615894039733,0.9812646370023419,0.026256850172514248,0.024266175936023315,70,16,86,28,72,0.3888888888888889
AGREEMENT_ZERO_SUPPORT_RULE,repeated_fold_seed_25,,0.8412698412698413,0.4748040313549832,0.9818057766659086,0.01677988887004008,0.026615043252507964,2120,400,2520,650,1815,0.3581267217630854
