condition,modification_precision,delete_recall,correct_pair_preservation,macro_delta_f1,micro_delta_f1,beneficial_edit_count,harmful_edit_count,modified_pair_count,modified_rna_count,eligible_rna_count,modified_rna_fraction,threshold_deployable_runs,runs
V3_BASE,0.847814355099838,0.35184770436730123,0.9871730725494655,0.01476131037602014,0.01877045942751641,1571,282,1853,557,1815,0.3068870523415978,20,25
V3_VETO2_FIXED,0.9562807881773399,0.34781634938409856,0.9967705253581988,0.017160307374590174,0.023045759514243657,1553,71,1624,503,1815,0.27713498622589533,20,25
V3_VETO2_RECALIBRATED,0.8952569169960475,0.5072788353863382,0.9879463270411645,0.0199597254096053,0.02977451082458728,2265,265,2530,660,1815,0.36363636363636365,22,25
AGREEMENT_ZERO_SUPPORT_RULE,0.8412698412698413,0.4748040313549832,0.9818057766659086,0.01677988887004008,0.026615043252507964,2120,400,2520,650,1815,0.3581267217630854,25,25
