condition,source_model,fold,seed,deployable,macro_delta_f1,micro_delta_f1,modification_precision,delete_recall,correct_pair_preservation,modified_pair_count,modified_rna_count,eligible_rna_count,beneficial_edit_count,harmful_edit_count,original_tp_count,tp_after_count,original_fp_count
AGREEMENT_ZERO_SUPPORT_RULE,rnafold,3,67,True,-0.0016571969696969706,-0.0017386171554291119,0.0,0.0,0.9965156794425087,1,1,24,0,1,287,286,15
AGREEMENT_ZERO_SUPPORT_RULE,petfold,3,67,True,0.003796145983645985,0.00457194372001668,1.0,0.15789473684210525,1.0,3,3,24,3,0,284,284,19
AGREEMENT_ZERO_SUPPORT_RULE,trrosettarna2_native_ss,3,67,True,0.04591208171607301,0.10340513359949643,0.9523809523809523,0.9411764705882353,0.9847908745247148,84,20,24,80,4,263,259,85
AGREEMENT_ZERO_SUPPORT_RULE,rnafold,4,17,True,0.004074110416899386,0.007277419354838721,1.0,0.13157894736842105,1.0,5,3,24,5,0,282,282,38
AGREEMENT_ZERO_SUPPORT_RULE,petfold,4,17,True,0.005398427438604502,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,24,4,0,281,281,41
AGREEMENT_ZERO_SUPPORT_RULE,trrosettarna2_native_ss,4,17,True,0.06929801266203885,0.05936857249967065,0.7922077922077922,0.8472222222222222,0.9450171821305842,77,22,24,61,16,291,275,72
AGREEMENT_ZERO_SUPPORT_RULE,rnafold,4,29,True,0.004074110416899386,0.007277419354838721,1.0,0.13157894736842105,1.0,5,3,24,5,0,282,282,38
AGREEMENT_ZERO_SUPPORT_RULE,petfold,4,29,True,0.005398427438604502,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,24,4,0,281,281,41
AGREEMENT_ZERO_SUPPORT_RULE,trrosettarna2_native_ss,4,29,True,0.06929801266203885,0.05936857249967065,0.7922077922077922,0.8472222222222222,0.9450171821305842,77,22,24,61,16,291,275,72
AGREEMENT_ZERO_SUPPORT_RULE,rnafold,4,41,True,0.004074110416899386,0.007277419354838721,1.0,0.13157894736842105,1.0,5,3,24,5,0,282,282,38
AGREEMENT_ZERO_SUPPORT_RULE,petfold,4,41,True,0.005398427438604502,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,24,4,0,281,281,41
AGREEMENT_ZERO_SUPPORT_RULE,trrosettarna2_native_ss,4,41,True,0.06929801266203885,0.05936857249967065,0.7922077922077922,0.8472222222222222,0.9450171821305842,77,22,24,61,16,291,275,72
AGREEMENT_ZERO_SUPPORT_RULE,rnafold,4,53,True,0.004074110416899386,0.007277419354838721,1.0,0.13157894736842105,1.0,5,3,24,5,0,282,282,38
AGREEMENT_ZERO_SUPPORT_RULE,petfold,4,53,True,0.005398427438604502,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,24,4,0,281,281,41
AGREEMENT_ZERO_SUPPORT_RULE,trrosettarna2_native_ss,4,53,True,0.06929801266203885,0.05936857249967065,0.7922077922077922,0.8472222222222222,0.9450171821305842,77,22,24,61,16,291,275,72
AGREEMENT_ZERO_SUPPORT_RULE,rnafold,4,67,True,0.004074110416899386,0.007277419354838721,1.0,0.13157894736842105,1.0,5,3,24,5,0,282,282,38
AGREEMENT_ZERO_SUPPORT_RULE,petfold,4,67,True,0.005398427438604502,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,24,4,0,281,281,41
AGREEMENT_ZERO_SUPPORT_RULE,trrosettarna2_native_ss,4,67,True,0.06929801266203885,0.05936857249967065,0.7922077922077922,0.8472222222222222,0.9450171821305842,77,22,24,61,16,291,275,72
