epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.31896732737012806,0.44457871544592725,0.8097908745304815
1,0.10920799384868846,0.6011853704901852,0.8040846463815854
2,0.06468438873135958,0.7738803224066724,0.7831182156808902
3,0.04311289833284344,0.9708634475755076,0.7708866083738354
4,0.03206736867546746,1.1789654190882521,0.7634950996666219
5,0.029571759009601937,1.3114030818280427,0.7653550110810987
6,0.02457904341670212,1.4648519612397672,0.7583421358920104
7,0.02085353183098538,1.6293994275792771,0.746196146732459
8,0.019934807059797017,1.8089274278068588,0.7443957523161412
9,0.019366908007462668,1.952204040818721,0.7296935288881852
10,0.02204127842482496,2.061147901576711,0.755457142635892
11,0.017367099615529083,2.202876017108336,0.7356885304135816
12,0.017495888051229706,2.1883902326299056,0.7462669946257358
