condition,track,scope,aggregation,metric,mean,population_sd,min,max,n
CER,positive_pair,NON_EVIDENCED,event_pooled,coverage,0.08083981839272955,0.0039499402857041555,0.07597698412088714,0.0866168347788678,5
CER,positive_pair,NON_EVIDENCED,event_pooled,fp_removal,0.43297988036976626,0.0181199918213451,0.406063077759652,0.45844661953960486,5
CER,positive_pair,NON_EVIDENCED,event_pooled,lost_tp,968.0,151.51897570931504,721.0,1158.0,5
CER,positive_pair,NON_EVIDENCED,event_pooled,modification_precision,0.9083636972649121,0.011180013809574523,0.8972949002217295,0.9279,5
CER,positive_pair,NON_EVIDENCED,event_pooled,opportunity_count,130171.0,0.0,130171.0,130171.0,5
CER,positive_pair,NON_EVIDENCED,event_pooled,removed_fp,9555.0,399.87197951344376,8961.0,10117.0,5
CER,positive_pair,NON_EVIDENCED,event_pooled,tp_preservation,0.9910455769035087,0.0014016167517026648,0.9892879938577098,0.9933304348630473,5
CER,positive_pair,NON_EVIDENCED,rna_balanced,coverage,0.08342646253297883,0.0031639720188754716,0.07916941264278893,0.08769760186341168,5
CER,positive_pair,NON_EVIDENCED,rna_balanced,fp_removal,0.6474189161020518,0.01105558737770486,0.6321191883458823,0.6629619624805587,5
CER,positive_pair,NON_EVIDENCED,rna_balanced,lost_tp,968.0,151.51897570931504,721.0,1158.0,5
CER,positive_pair,NON_EVIDENCED,rna_balanced,modification_precision,0.9474418401282942,0.00513954042575059,0.9393056152707852,0.953494761851166,5
CER,positive_pair,NON_EVIDENCED,rna_balanced,removed_fp,9555.0,399.87197951344376,8961.0,10117.0,5
CER,positive_pair,NON_EVIDENCED,rna_balanced,tp_preservation,0.9923565946476829,0.0020838521867804064,0.9887986696956181,0.9949581114503495,5
CER,unpaired,DIRECT,event_pooled,coverage,,,,,0
CER,unpaired,DIRECT,event_pooled,fp_removal,,,,,0
CER,unpaired,DIRECT,event_pooled,lost_tp,0.0,0.0,0.0,0.0,5
CER,unpaired,DIRECT,event_pooled,modification_precision,,,,,0
CER,unpaired,DIRECT,event_pooled,opportunity_count,0.0,0.0,0.0,0.0,5
CER,unpaired,DIRECT,event_pooled,removed_fp,0.0,0.0,0.0,0.0,5
CER,unpaired,DIRECT,event_pooled,tp_preservation,,,,,0
CER,unpaired,DIRECT,rna_balanced,coverage,,,,,0
CER,unpaired,DIRECT,rna_balanced,fp_removal,,,,,0
CER,unpaired,DIRECT,rna_balanced,lost_tp,0.0,0.0,0.0,0.0,5
CER,unpaired,DIRECT,rna_balanced,modification_precision,,,,,0
CER,unpaired,DIRECT,rna_balanced,removed_fp,0.0,0.0,0.0,0.0,5
CER,unpaired,DIRECT,rna_balanced,tp_preservation,,,,,0
CER,unpaired,LOCAL_CONFLICT,event_pooled,coverage,1.0,0.0,1.0,1.0,5
CER,unpaired,LOCAL_CONFLICT,event_pooled,fp_removal,1.0,0.0,1.0,1.0,5
CER,unpaired,LOCAL_CONFLICT,event_pooled,lost_tp,0.0,0.0,0.0,0.0,5
CER,unpaired,LOCAL_CONFLICT,event_pooled,modification_precision,1.0,0.0,1.0,1.0,5
CER,unpaired,LOCAL_CONFLICT,event_pooled,opportunity_count,4621.0,0.0,4621.0,4621.0,5
CER,unpaired,LOCAL_CONFLICT,event_pooled,removed_fp,4621.0,0.0,4621.0,4621.0,5
CER,unpaired,LOCAL_CONFLICT,event_pooled,tp_preservation,,,,,0
CER,unpaired,LOCAL_CONFLICT,rna_balanced,coverage,1.0,0.0,1.0,1.0,5
CER,unpaired,LOCAL_CONFLICT,rna_balanced,fp_removal,1.0,0.0,1.0,1.0,5
CER,unpaired,LOCAL_CONFLICT,rna_balanced,lost_tp,0.0,0.0,0.0,0.0,5
CER,unpaired,LOCAL_CONFLICT,rna_balanced,modification_precision,1.0,0.0,1.0,1.0,5
CER,unpaired,LOCAL_CONFLICT,rna_balanced,removed_fp,4621.0,0.0,4621.0,4621.0,5
CER,unpaired,LOCAL_CONFLICT,rna_balanced,tp_preservation,,,,,0
CER,unpaired,NON_EVIDENCED,event_pooled,coverage,0.06212916750498121,0.003623573238669853,0.05752892996449873,0.0668553144815322,5
CER,unpaired,NON_EVIDENCED,event_pooled,fp_removal,0.37656186566827554,0.01797866119736559,0.3531056881230547,0.398439262032568,5
CER,unpaired,NON_EVIDENCED,event_pooled,lost_tp,1224.8,209.8469918774153,942.0,1468.0,5
CER,unpaired,NON_EVIDENCED,event_pooled,modification_precision,0.8726905952361008,0.016140658818199365,0.8541625074865242,0.8937274368231047,5
CER,unpaired,NON_EVIDENCED,event_pooled,opportunity_count,154079.0,0.0,154079.0,154079.0,5
CER,unpaired,NON_EVIDENCED,event_pooled,removed_fp,8348.0,398.56894008439747,7828.0,8833.0,5
