track,metric,cer_mean,masked_mean,cer_minus_masked
positive_pair,event_fp_removal,0.46582710779082176,0.39924012806830306,0.0665869797225187
positive_pair,rna_fp_removal,0.6638970726817675,0.6260807985223871,0.03781627415938038
positive_pair,event_lost_tp,968.0,980.8,-12.799999999999955
positive_pair,rna_lost_tp,968.0,980.8,-12.799999999999955
unpaired,event_fp_removal,0.48409854423292276,0.37558790593505037,0.10851063829787239
unpaired,rna_fp_removal,0.700656295630004,0.6044208902039805,0.09623540542602349
unpaired,event_lost_tp,1224.8,1134.0,90.79999999999995
unpaired,rna_lost_tp,1224.8,1134.0,90.79999999999995
combined,event_fp_removal,0.4755750273822564,0.3866215274320422,0.08895349995021418
combined,rna_fp_removal,0.6822000111409278,0.6152360692883171,0.06696394185261068
combined,event_lost_tp,2192.8,2114.8,78.0
combined,rna_lost_tp,2192.8,2114.8,78.0
