epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.3344733119748003,0.275874404838242,0.8413895113591021
1,0.10501172284673983,0.3625733655486237,0.8172528301916656
2,0.06259452548029609,0.5128530340736098,0.8014809727294049
3,0.05098472885902344,0.5512703658055863,0.7854415469613055
4,0.03781999533374646,0.6072207025582408,0.8003495042379213
5,0.03293184105670549,0.6977566604115141,0.7876278061525778
6,0.02855102301608135,0.7267215199372338,0.7875966925076632
7,0.03030527950328288,0.7872865297495495,0.7825479090079875
8,0.030480126773603265,0.7532319533584036,0.7829212898664495
9,0.023866902734485055,0.8093348582675973,0.8134798992577155
10,0.022839308841146613,0.8412881275746064,0.7874457758341288
11,0.022218663390589217,0.9293625479936496,0.7825061259104535
12,0.025288862494190004,0.8954012191705345,0.7950892923031843
