epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.34536654306862263,0.2596446144112753,0.8334025734832979
1,0.11797864996346537,0.35904896225056276,0.8249699408068922
2,0.06817228751935873,0.49510720643666706,0.8208468427149266
3,0.051513014823202787,0.5416543362915963,0.8200867845160845
4,0.039040053557257016,0.6241693177035852,0.8069076033778247
5,0.033781382278075076,0.6377947853464251,0.8243614714738713
6,0.030970136570199796,0.693490138926003,0.81653576881625
7,0.0313841629136425,0.696766568235083,0.8206016843824876
8,0.02659511039817579,0.7233407545863627,0.8196098938385377
9,0.026346536814784362,0.7325065573294717,0.8273904551086926
10,0.025630910082094747,0.8186326488981571,0.8167553124415069
11,0.024423198744722607,0.9010396175744436,0.8079042349994654
12,0.029149092534965105,0.8338440105995337,0.8199687951667368
