source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_removed_fp,sum_evidence_item_count,micro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item,micro_delta_f1_vs_b0,macro_delta_f1_vs_b0,micro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item_defined_rna_count
rnafold,POSITIVE_PAIR_EVIDENCE,20,B1_LOCAL_HARD,570,118,3,90,1514,0.059445178335535004,0.03951524934575782,0.01278462090919652,0.013534001825258213,8.444267443326632e-06,0.0018264626972211587,118
rnafold,POSITIVE_PAIR_EVIDENCE,20,B2_GLOBAL_REFOLD,570,118,3,281,1514,0.1856010568031704,0.16584054834054834,0.03075999355159431,0.02772222205389152,2.031703669193812e-05,0.0033782935739934215,118
rnafold,POSITIVE_PAIR_EVIDENCE,50,B1_LOCAL_HARD,545,113,8,178,3714,0.04792676359719979,0.04121829962498319,0.02758706620754159,0.027162269600795486,7.427858429601936e-06,0.0018815390073526777,113
rnafold,POSITIVE_PAIR_EVIDENCE,50,B2_GLOBAL_REFOLD,545,113,8,340,3714,0.09154550350026926,0.09078809021139782,0.04484247183388479,0.040914716591342715,1.2073901947734191e-05,0.002855404868850719,113
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,73,605,0.1206611570247934,0.12066115702479338,0.003806008360200064,0.0038434650497474188,6.290922909421593e-06,0.0007686930099494661,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,174,605,0.28760330578512394,0.28760330578512394,0.009197029253440125,0.012741122175076502,1.520170124535558e-05,0.0025482244350152803,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B1_LOCAL_HARD,605,121,0,83,670,0.12388059701492538,0.11504132231404958,0.004329961028969542,0.004400559807201332,6.462628401447078e-06,0.0008526254073657404,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B2_GLOBAL_REFOLD,605,121,0,261,670,0.3895522388059702,0.28865013774104686,0.00960500232993633,0.012987784328495788,1.4335824373039298e-05,0.002613641975814445,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B1_LOCAL_HARD,605,121,0,132,925,0.14270270270270272,0.1065840220385675,0.006906392392994287,0.005031029334366277,7.466370154588419e-06,0.0007241445351051998,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B2_GLOBAL_REFOLD,605,121,0,396,925,0.4281081081081081,0.2496969696969697,0.020714943056101887,0.019027421276639922,2.239453303362366e-05,0.0023132732135931365,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B1_LOCAL_HARD,605,121,0,238,1665,0.14294294294294294,0.10657680703135249,0.012531916799988996,0.008429470033906927,7.526676756750148e-06,0.0007093751285976598,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B2_GLOBAL_REFOLD,605,121,0,560,1665,0.33633633633633636,0.18589859635314182,0.029158685807128104,0.021373745024865443,1.7512724208485347e-05,0.001375601205164695,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B1_LOCAL_HARD,605,121,0,535,4365,0.12256586483390607,0.08684564702230117,0.028683460971285935,0.019854295131448985,6.5712396268696295e-06,0.0006068155700950143,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B2_GLOBAL_REFOLD,605,121,0,880,4365,0.2016036655211913,0.12187991352224885,0.05611040240861831,0.0407818593104704,1.2854616817552878e-05,0.001046375213585283,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,87,605,0.14380165289256197,0.14380165289256197,0.007250588849342154,0.005999527856929698,1.198444437907794e-05,0.001199905571385941,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,1995,605,3.2975206611570247,3.2975206611570247,0.06806003394176874,0.07693926575947252,0.00011249592387069213,0.015387853151894499,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,5,B1_LOCAL_HARD,603,121,0,83,648,0.12808641975308643,0.12561983471074378,0.008004846177828262,0.005443775258334949,1.2353157681833738e-05,0.001000124686732574,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,5,B2_GLOBAL_REFOLD,603,121,0,1994,648,3.0771604938271606,2.9377410468319556,0.08177380031290038,0.08317804752294433,0.0001261941362853401,0.0162453328465615,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,10,B1_LOCAL_HARD,595,121,0,121,879,0.13765642775881684,0.14176308539944904,0.011811586465393153,0.008432413348900547,1.3437527264383566e-05,0.0013296980904634304,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,10,B2_GLOBAL_REFOLD,595,121,0,1835,879,2.087599544937429,2.192920110192837,0.08718252253043512,0.08790475697013644,9.918375714497739e-05,0.015038690073984428,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,20,B1_LOCAL_HARD,570,118,3,104,1514,0.06869220607661823,0.09499871597329224,0.010978099819141995,0.011621028707809455,7.251056683713339e-06,0.0016471562321578766,118
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,20,B2_GLOBAL_REFOLD,570,118,3,1485,1514,0.9808454425363277,1.133598698852936,0.07924867313772599,0.08695250901207152,5.234390563918493e-05,0.010900861110354237,118
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,50,B1_LOCAL_HARD,545,113,8,114,3714,0.030694668820678513,0.039503120858449835,0.015747563860190827,0.016904254881444536,4.240054889658274e-06,0.0011610454797827236,113
