source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_tp,sum_fp,sum_fn,sum_original_tp,sum_original_fp,sum_original_fn,sum_preserved_tp,sum_lost_tp,sum_removed_fp,sum_preserved_original_fp,sum_new_tp,sum_new_fp,sum_unchanged_pairs,sum_deleted_pairs,sum_added_pairs,sum_beneficial_changes,sum_harmful_changes,sum_modified_pair_count,sum_evidence_item_count,micro_precision,macro_precision,macro_precision_defined_rna_count,micro_recall,macro_recall,macro_recall_defined_rna_count,micro_f1,macro_f1,macro_f1_defined_rna_count,micro_tp_preservation,macro_tp_preservation,macro_tp_preservation_defined_rna_count,micro_fp_removal,macro_fp_removal,macro_fp_removal_defined_rna_count,micro_modification_precision,macro_modification_precision,macro_modification_precision_defined_rna_count,micro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item_defined_rna_count
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B2_GLOBAL_REFOLD,605,121,0,7611,367,769,7315,1205,1065,7254,61,985,220,357,147,7474,1046,504,1342,208,1550,4365,0.953998495863625,0.9685547874515171,121,0.9082338902147972,0.9332581672909575,121,0.9305538574397848,0.9465994712184265,121,0.991660970608339,0.994398866880964,120,0.8174273858921162,0.8133650544857441,58,0.8658064516129033,0.9226266431157867,63,0.2256586483390607,0.1515435840321485,121
rnafold,POSITIVE_PAIR_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,1.0,1.0,120,0.0,0.0,51,,,0,,,0
rnafold,POSITIVE_PAIR_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,7464,990,916,7365,1100,1015,7277,88,208,892,187,98,8169,296,285,395,186,581,605,0.8828956706884316,0.9201193107832284,121,0.890692124105012,0.9278662542680499,121,0.8867767613163835,0.9198106299727674,121,0.9880515953835709,0.9792871651295564,120,0.1890909090909091,0.10286816748796664,51,0.6798623063683304,0.7934161062530625,24,0.343801652892562,0.343801652892562,121
rnafold,POSITIVE_PAIR_EVIDENCE,5,B2_GLOBAL_REFOLD,603,121,0,7567,887,793,7347,1100,1013,7219,128,402,698,348,189,7917,530,537,750,317,1067,648,0.8950792524248876,0.9270915357733726,121,0.9051435406698565,0.933676038689374,121,0.9000832639467111,0.9260494117362392,121,0.9825779229617531,0.9722866161616162,120,0.3654545454545455,0.16868357920486088,51,0.7029053420805998,0.7412290506969069,22,0.6203703703703703,0.4118457300275482,121
rnafold,POSITIVE_PAIR_EVIDENCE,10,B2_GLOBAL_REFOLD,595,121,0,7576,741,611,7270,1021,917,7190,80,450,571,386,170,7761,530,556,836,250,1086,879,0.9109053745340868,0.9295059180648642,121,0.9253694882130207,0.9396936381018245,121,0.9180804653417354,0.9307761211834313,121,0.9889958734525447,0.980868961352657,120,0.4407443682664055,0.1660251354528415,51,0.7697974217311234,0.832464885629685,24,0.5119453924914675,0.27741046831955923,121
rnafold,POSITIVE_PAIR_EVIDENCE,20,B2_GLOBAL_REFOLD,570,118,3,7204,470,298,6966,698,536,6902,64,281,417,302,53,7319,345,355,583,117,700,1514,0.9387542350794892,0.9428924707714758,118,0.960277259397494,0.954210203688136,118,0.9493937796520823,0.9448497930311658,118,0.9908125179443009,0.9698453881062578,117,0.40257879656160456,0.2103669941169941,48,0.8328571428571429,0.8012602641306494,25,0.1856010568031704,0.16584054834054834,118
rnafold,POSITIVE_PAIR_EVIDENCE,50,B2_GLOBAL_REFOLD,545,113,8,7003,333,78,6664,638,417,6657,7,340,298,346,35,6955,347,381,686,42,728,3714,0.954607415485278,0.956383244125066,113,0.9889846066939698,0.985979407296024,113,0.9714919886245404,0.9692075663494077,113,0.9989495798319328,0.9953687888198758,112,0.5329153605015674,0.2933794353794354,45,0.9423076923076923,0.9489817717449759,26,0.09154550350026926,0.09078809021139782,113
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,1.0,1.0,120,0.0,0.0,51,,,0,,,0
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,7408,979,972,7365,1100,1015,7358,7,174,926,50,53,8284,181,103,224,60,284,605,0.8832717300584237,0.9238364411583446,121,0.8840095465393795,0.9222045957087484,121,0.8836404842846066,0.9185587340830326,121,0.9990495587236932,0.9989242424242425,120,0.15818181818181817,0.2081640901033536,51,0.7887323943661971,0.9126225161117079,42,0.28760330578512394,0.28760330578512394,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B2_GLOBAL_REFOLD,605,121,0,7407,970,973,7365,1100,1015,7333,32,261,839,74,131,8172,293,205,335,163,498,670,0.8842067565954399,0.9240578978741076,121,0.883890214797136,0.9217023122828926,121,0.8840484573611028,0.9188053962364519,121,0.9956551255940258,0.9972569718928415,120,0.23727272727272727,0.21888993554225503,51,0.6726907630522089,0.8317789915929612,37,0.3895522388059702,0.28865013774104686,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B2_GLOBAL_REFOLD,605,121,0,7488,862,892,7365,1100,1015,7343,22,396,704,145,158,8047,418,303,541,180,721,925,0.8967664670658683,0.9304317153672138,121,0.8935560859188544,0.9275756721510047,121,0.8951583980872684,0.924845033184596,121,0.9970128988458927,0.998094613407582,120,0.36,0.27126500719996655,51,0.7503467406380028,0.8747421489736611,42,0.4281081081081081,0.2496969696969697,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B2_GLOBAL_REFOLD,605,121,0,7513,736,867,7365,1100,1015,7300,65,560,540,213,196,7840,625,409,773,261,1034,1665,0.9107770638865317,0.9355892875296238,121,0.8965393794749403,0.9265178397858981,121,0.9036021408382946,0.9271913569328215,121,0.991174473862865,0.9944141389802934,120,0.509090909090909,0.40271663632256655,51,0.7475822050290135,0.8643751935752441,48,0.33633633633633636,0.18589859635314182,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B2_GLOBAL_REFOLD,605,121,0,7611,367,769,7365,1100,1015,7309,56,880,220,302,147,7529,936,449,1182,203,1385,4365,0.953998495863625,0.9685547874515171,121,0.9082338902147972,0.9332581672909575,121,0.9305538574397848,0.9465994712184265,121,0.9923964697895451,0.9946835986768521,120,0.8,0.7493683584070959,51,0.8534296028880867,0.9213806478106485,51,0.2016036655211913,0.12187991352224885,121
