source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_tp,sum_fp,sum_fn,sum_original_tp,sum_original_fp,sum_original_fn,sum_preserved_tp,sum_lost_tp,sum_removed_fp,sum_preserved_original_fp,sum_new_tp,sum_new_fp,sum_unchanged_pairs,sum_deleted_pairs,sum_added_pairs,sum_beneficial_changes,sum_harmful_changes,sum_modified_pair_count,sum_evidence_item_count,micro_precision,micro_recall,micro_f1,micro_tp_preservation,micro_fp_removal,micro_modification_precision,micro_fp_removed_per_evidence_item,micro_delta_f1_vs_b0,micro_delta_f1_vs_b1,micro_delta_f1_per_evidence_item
petfold,POSITIVE_PAIR_EVIDENCE,50,B2_GLOBAL_REFOLD,545,113,8,7003,333,78,6619,724,462,6611,8,448,276,392,57,6887,456,449,840,65,905,3714,0.954607415485278,0.9889846066939698,0.9714919886245404,0.9987913582112101,0.6187845303867403,0.9281767955801105,0.1206246634356489,0.05371605961733028,0.024792181941303726,1.4463128599173474e-05
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B0_ORIGINAL,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,0,0.8585680751173709,0.8729116945107399,0.8656804733727811,1.0,0.0,,,0.0,0.0,
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B1_LOCAL_HARD,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,0,0.8585680751173709,0.8729116945107399,0.8656804733727811,1.0,0.0,,,0.0,0.0,
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,7365,1100,1015,7315,1205,1065,7300,15,180,1025,65,75,8325,195,140,245,90,335,0,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.9979494190020506,0.14937759336099585,0.7313432835820896,,0.008762981658385405,0.008762981658385405,
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B0_ORIGINAL,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,605,0.8585680751173709,0.8729116945107399,0.8656804733727811,1.0,0.0,,0.0,0.0,-0.004479521868996139,0.0
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,7315,1118,1065,7315,1205,1065,7315,0,87,1118,0,0,8433,87,0,87,0,87,605,0.8674255899442666,0.8729116945107399,0.8701599952417772,1.0,0.07219917012448132,1.0,0.14380165289256197,0.004479521868996139,0.0,7.404168378506015e-06
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,7408,979,972,7315,1205,1065,7294,21,344,861,114,118,8155,365,232,458,139,597,605,0.8832717300584237,0.8840095465393795,0.8836404842846066,0.9971291866028709,0.2854771784232365,0.7671691792294807,0.5685950413223141,0.01796001091182553,0.013480489042829391,2.9685968449298397e-05
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B0_ORIGINAL,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,670,0.8585680751173709,0.8729116945107399,0.8656804733727811,1.0,0.0,,0.0,0.0,-0.005463982980678517,0.0
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B1_LOCAL_HARD,605,121,0,7315,1099,1065,7315,1205,1065,7315,0,106,1099,0,0,8414,106,0,106,0,106,670,0.8693843594009983,0.8729116945107399,0.8711444563534596,1.0,0.08796680497925312,1.0,0.1582089552238806,0.005463982980678517,0.0,8.155198478624651e-06
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B2_GLOBAL_REFOLD,605,121,0,7407,970,973,7315,1205,1065,7272,43,418,787,135,183,8059,461,318,553,226,779,670,0.8842067565954399,0.883890214797136,0.8840484573611028,0.9941216678058783,0.34688796680497924,0.7098844672657253,0.6238805970149254,0.018367983988321734,0.012904001007643218,2.7414901475107065e-05
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B0_ORIGINAL,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,925,0.8585680751173709,0.8729116945107399,0.8656804733727811,1.0,0.0,,0.0,0.0,-0.007335399643091933,0.0
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B1_LOCAL_HARD,605,121,0,7315,1063,1065,7315,1205,1065,7315,0,142,1063,0,0,8378,142,0,142,0,142,925,0.8731200763905467,0.8729116945107399,0.873015873015873,1.0,0.11784232365145228,1.0,0.1535135135135135,0.007335399643091933,0.0,7.930161776315604e-06
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B2_GLOBAL_REFOLD,605,121,0,7488,862,892,7315,1205,1065,7282,33,536,669,206,193,7951,569,399,742,226,968,925,0.8967664670658683,0.8935560859188544,0.8951583980872684,0.9954887218045113,0.44481327800829873,0.7665289256198347,0.5794594594594594,0.02947792471448729,0.022142525071395358,3.1868026718364636e-05
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B0_ORIGINAL,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,1665,0.8585680751173709,0.8729116945107399,0.8656804733727811,1.0,0.0,,0.0,0.0,-0.013684796808140942,0.0
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B1_LOCAL_HARD,605,121,0,7315,942,1065,7315,1205,1065,7315,0,263,942,0,0,8257,263,0,263,0,263,1665,0.8859149812280489,0.8729116945107399,0.879365270180922,1.0,0.21825726141078838,1.0,0.15795795795795795,0.013684796808140942,0.0,8.219097182066633e-06
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B2_GLOBAL_REFOLD,605,121,0,7513,736,867,7315,1205,1065,7243,72,691,514,270,222,7757,763,492,961,294,1255,1665,0.9107770638865317,0.8965393794749403,0.9036021408382946,0.9901572112098428,0.5734439834024896,0.7657370517928287,0.41501501501501503,0.03792166746551351,0.024236870657372567,2.2775776255563668e-05
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B0_ORIGINAL,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,4365,0.8585680751173709,0.8729116945107399,0.8656804733727811,1.0,0.0,,0.0,0.0,-0.03230626858646268,0.0
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B1_LOCAL_HARD,605,121,0,7315,597,1065,7315,1205,1065,7315,0,608,597,0,0,7912,608,0,608,0,608,4365,0.9245449949443882,0.8729116945107399,0.8979867419592438,1.0,0.5045643153526971,1.0,0.13928980526918672,0.03230626858646268,0.0,7.401207007207946e-06
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B2_GLOBAL_REFOLD,605,121,0,7611,367,769,7315,1205,1065,7254,61,985,220,357,147,7474,1046,504,1342,208,1550,4365,0.953998495863625,0.9082338902147972,0.9305538574397848,0.991660970608339,0.8174273858921162,0.8658064516129033,0.2256586483390607,0.06487338406700371,0.03256711548054103,1.4862172753036361e-05
rnafold,POSITIVE_PAIR_EVIDENCE,0,B0_ORIGINAL,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,0,0.8700531600708801,0.8788782816229117,0.8744434550311665,1.0,0.0,,,0.0,0.0,
rnafold,POSITIVE_PAIR_EVIDENCE,0,B1_LOCAL_HARD,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,0,0.8700531600708801,0.8788782816229117,0.8744434550311665,1.0,0.0,,,0.0,0.0,
rnafold,POSITIVE_PAIR_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,0,0.8700531600708801,0.8788782816229117,0.8744434550311665,1.0,0.0,,,0.0,0.0,
rnafold,POSITIVE_PAIR_EVIDENCE,1,B0_ORIGINAL,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,605,0.8700531600708801,0.8788782816229117,0.8744434550311665,1.0,0.0,,0.0,0.0,-0.00444147972565434,0.0
rnafold,POSITIVE_PAIR_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,7409,1071,971,7365,1100,1015,7365,0,29,1071,44,0,8436,29,44,73,0,73,605,0.8737028301886792,0.8841288782816229,0.8788849347568208,1.0,0.026363636363636363,1.0,0.047933884297520664,0.00444147972565434,0.0,7.341288802734447e-06
rnafold,POSITIVE_PAIR_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,7464,990,916,7365,1100,1015,7277,88,208,892,187,98,8169,296,285,395,186,581,605,0.8828956706884316,0.890692124105012,0.8867767613163835,0.9880515953835709,0.1890909090909091,0.6798623063683304,0.343801652892562,0.012333306285217005,0.007891826559562665,2.0385630223499183e-05
rnafold,POSITIVE_PAIR_EVIDENCE,5,B0_ORIGINAL,603,121,0,7347,1100,1013,7347,1100,1013,7347,0,0,1100,0,0,8447,0,0,0,0,0,648,0.86977625192376,0.8788277511961723,0.8742785744035223,1.0,0.0,,0.0,0.0,-0.00684363196832749,0.0
rnafold,POSITIVE_PAIR_EVIDENCE,5,B1_LOCAL_HARD,603,121,0,7412,1052,948,7347,1100,1013,7347,0,48,1052,65,0,8399,48,65,113,0,113,648,0.8757088846880907,0.8866028708133972,0.8811222063718498,1.0,0.04363636363636364,1.0,0.07407407407407407,0.00684363196832749,0.0,1.0561160444949831e-05
rnafold,POSITIVE_PAIR_EVIDENCE,5,B2_GLOBAL_REFOLD,603,121,0,7567,887,793,7347,1100,1013,7219,128,402,698,348,189,7917,530,537,750,317,1067,648,0.8950792524248876,0.9051435406698565,0.9000832639467111,0.9825779229617531,0.3654545454545455,0.7029053420805998,0.6203703703703703,0.02580468954318882,0.01896105757486133,3.9822051764180276e-05
rnafold,POSITIVE_PAIR_EVIDENCE,10,B0_ORIGINAL,595,121,0,7270,1021,917,7270,1021,917,7270,0,0,1021,0,0,8291,0,0,0,0,0,879,0.8768544204559161,0.8879931598876267,0.8823886393979852,1.0,0.0,,0.0,0.0,-0.009504891190749487,0.0
rnafold,POSITIVE_PAIR_EVIDENCE,10,B1_LOCAL_HARD,595,121,0,7355,951,832,7270,1021,917,7270,0,70,951,85,0,8221,70,85,155,0,155,879,0.8855044546111245,0.8983754733113473,0.8918935305887347,1.0,0.06856023506366307,1.0,0.07963594994311718,0.009504891190749487,0.0,1.0813300558304308e-05
rnafold,POSITIVE_PAIR_EVIDENCE,10,B2_GLOBAL_REFOLD,595,121,0,7576,741,611,7270,1021,917,7190,80,450,571,386,170,7761,530,556,836,250,1086,879,0.9109053745340868,0.9253694882130207,0.9180804653417354,0.9889958734525447,0.4407443682664055,0.7697974217311234,0.5119453924914675,0.0356918259437502,0.026186934753000712,4.060503520335631e-05
rnafold,POSITIVE_PAIR_EVIDENCE,20,B0_ORIGINAL,570,118,3,6966,698,536,6966,698,536,6966,0,0,698,0,0,7664,0,0,0,0,0,1514,0.9089248434237995,0.9285523860303919,0.918633786100488,1.0,0.0,,0.0,0.0,-0.01278462090919652,0.0
rnafold,POSITIVE_PAIR_EVIDENCE,20,B1_LOCAL_HARD,570,118,3,7069,608,433,6966,698,536,6966,0,90,608,103,0,7574,90,103,193,0,193,1514,0.9208023967695714,0.9422820581178353,0.9314184070096845,1.0,0.12893982808022922,1.0,0.059445178335535004,0.01278462090919652,0.0,8.444267443326632e-06
rnafold,POSITIVE_PAIR_EVIDENCE,20,B2_GLOBAL_REFOLD,570,118,3,7204,470,298,6966,698,536,6902,64,281,417,302,53,7319,345,355,583,117,700,1514,0.9387542350794892,0.960277259397494,0.9493937796520823,0.9908125179443009,0.40257879656160456,0.8328571428571429,0.1856010568031704,0.03075999355159431,0.01797537264239779,2.031703669193812e-05
rnafold,POSITIVE_PAIR_EVIDENCE,50,B0_ORIGINAL,545,113,8,6664,638,417,6664,638,417,6664,0,0,638,0,0,7302,0,0,0,0,0,3714,0.9126266776225691,0.9411100127100692,0.9266495167906557,1.0,0.0,,0.0,0.0,-0.02758706620754159,0.0
rnafold,POSITIVE_PAIR_EVIDENCE,50,B1_LOCAL_HARD,545,113,8,6881,460,200,6664,638,417,6664,0,178,460,217,0,7124,178,217,395,0,395,3714,0.937338237297371,0.9717554017794097,0.9542365829981972,1.0,0.27899686520376177,1.0,0.04792676359719979,0.02758706620754159,0.0,7.427858429601936e-06
rnafold,POSITIVE_PAIR_EVIDENCE,50,B2_GLOBAL_REFOLD,545,113,8,7003,333,78,6664,638,417,6657,7,340,298,346,35,6955,347,381,686,42,728,3714,0.954607415485278,0.9889846066939698,0.9714919886245404,0.9989495798319328,0.5329153605015674,0.9423076923076923,0.09154550350026926,0.04484247183388479,0.0172554056263432,1.2073901947734191e-05
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B0_ORIGINAL,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,0,0.8700531600708801,0.8788782816229117,0.8744434550311665,1.0,0.0,,,0.0,0.0,
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B1_LOCAL_HARD,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,0,0.8700531600708801,0.8788782816229117,0.8744434550311665,1.0,0.0,,,0.0,0.0,
