source_model,channel,density_percent,scope,scope_domain,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_tp,sum_fp,sum_fn,sum_original_tp,sum_original_fp,sum_original_fn,sum_preserved_tp,sum_lost_tp,sum_removed_fp,sum_preserved_original_fp,sum_new_tp,sum_new_fp,sum_unchanged_pairs,sum_deleted_pairs,sum_added_pairs,sum_beneficial_changes,sum_harmful_changes,sum_modified_pair_count,sum_evidence_item_count,micro_precision,macro_precision,macro_precision_defined_rna_count,micro_recall,macro_recall,macro_recall_defined_rna_count,micro_f1,macro_f1,macro_f1_defined_rna_count,micro_tp_preservation,macro_tp_preservation,macro_tp_preservation_defined_rna_count,micro_fp_removal,macro_fp_removal,macro_fp_removal_defined_rna_count,micro_modification_precision,macro_modification_precision,macro_modification_precision_defined_rna_count,micro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item_defined_rna_count
petfold,POSITIVE_PAIR_EVIDENCE,50,DIRECT_EVIDENCE_EFFECT,pair,545,113,8,3714,0,0,3477,0,237,3477,0,0,0,237,0,3477,0,237,237,0,237,3714,1.0,1.0,113,1.0,1.0,113,1.0,1.0,113,1.0,1.0,112,,,0,1.0,1.0,32,0.0,0.0,113
petfold,POSITIVE_PAIR_EVIDENCE,50,LOCAL_CONFLICT_EFFECT,pair,545,113,8,0,0,0,0,177,0,0,0,177,0,0,0,0,177,0,177,0,177,3714,1.0,1.0,113,1.0,1.0,113,1.0,1.0,113,,,0,1.0,1.0,18,1.0,1.0,18,0.04765751211631664,0.042623692389043316,113
petfold,POSITIVE_PAIR_EVIDENCE,50,NON_EVIDENCED_EFFECT,pair,545,113,8,3289,333,78,3142,547,225,3134,8,271,276,155,57,3410,279,212,426,65,491,3714,0.9080618442849254,0.9198552039178834,113,0.9768339768339769,0.9712059954922595,113,0.9411933037630562,0.9386561634844116,113,0.9974538510502864,0.9923319602196983,112,0.4954296160877514,0.3932469507064562,51,0.8676171079429735,0.8415775051054469,37,0.07296715131933226,0.0763276313343647,113
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,DIRECT_EVIDENCE_EFFECT,nucleotide,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,121,,,121,,,121,,,0,,,0,,,0,,,0
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,LOCAL_CONFLICT_EFFECT,pair,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,,,0,,,0,,,0
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,NON_EVIDENCED_EFFECT,pair,605,121,0,7365,1100,1015,7315,1205,1065,7300,15,180,1025,65,75,8325,195,140,245,90,335,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,0.9979494190020506,0.9988624338624338,120,0.14937759336099585,0.23807657859381998,58,0.7313432835820896,0.8197916666666667,32,,,0
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,DIRECT_EVIDENCE_EFFECT,nucleotide,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,,,121,,,121,,,121,,,0,,,0,,,0,0.0,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,LOCAL_CONFLICT_EFFECT,pair,605,121,0,0,0,0,0,87,0,0,0,87,0,0,0,0,87,0,87,0,87,605,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,47,1.0,1.0,47,0.14380165289256197,0.143801652892562,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,NON_EVIDENCED_EFFECT,pair,605,121,0,7408,979,972,7315,1118,1065,7294,21,257,861,114,118,8155,278,232,371,139,510,605,0.8832717300584237,0.9238364411583446,121,0.8840095465393795,0.9222045957087484,121,0.8836404842846066,0.9185587340830326,121,0.9971291866028709,0.9978660413660414,120,0.2298747763864043,0.3020816037462429,58,0.7274509803921568,0.8101340551775755,44,0.42479338842975206,0.42479338842975206,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,DIRECT_EVIDENCE_EFFECT,nucleotide,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,,,121,,,121,,,121,,,0,,,0,,,0,0.0,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,LOCAL_CONFLICT_EFFECT,pair,605,121,0,0,0,0,0,106,0,0,0,106,0,0,0,0,106,0,106,0,106,670,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,45,1.0,1.0,45,0.1582089552238806,0.1505785123966942,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,NON_EVIDENCED_EFFECT,pair,605,121,0,7407,970,973,7315,1099,1065,7272,43,312,787,135,183,8059,355,318,447,226,673,670,0.8842067565954399,0.9240578978741076,121,0.883890214797136,0.9217023122828926,121,0.8840484573611028,0.9188053962364519,121,0.9941216678058783,0.9963073624718362,120,0.28389444949954507,0.30681042421045057,58,0.6641901931649331,0.7499530100691898,42,0.46567164179104475,0.3792286501377411,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,DIRECT_EVIDENCE_EFFECT,nucleotide,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925,,,121,,,121,,,121,,,0,,,0,,,0,0.0,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,LOCAL_CONFLICT_EFFECT,pair,605,121,0,0,0,0,0,142,0,0,0,142,0,0,0,0,142,0,142,0,142,925,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,49,1.0,1.0,49,0.1535135135135135,0.12107438016528926,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,NON_EVIDENCED_EFFECT,pair,605,121,0,7488,862,892,7315,1063,1065,7282,33,394,669,206,193,7951,427,399,600,226,826,925,0.8967664670658683,0.9304317153672138,121,0.8935560859188544,0.9275756721510047,121,0.8951583980872684,0.924845033184596,121,0.9954887218045113,0.9972614708158186,120,0.37064910630291625,0.33939196856105963,58,0.7263922518159807,0.8039547734882782,44,0.4259459459459459,0.30421487603305786,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,DIRECT_EVIDENCE_EFFECT,nucleotide,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1665,,,121,,,121,,,121,,,0,,,0,,,0,0.0,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,LOCAL_CONFLICT_EFFECT,pair,605,121,0,0,0,0,0,263,0,0,0,263,0,0,0,0,263,0,263,0,263,1665,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,54,1.0,1.0,54,0.15795795795795795,0.12155712973894793,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,NON_EVIDENCED_EFFECT,pair,605,121,0,7513,736,867,7315,942,1065,7243,72,428,514,270,222,7757,500,492,698,294,992,1665,0.9107770638865317,0.9355892875296238,121,0.8965393794749403,0.9265178397858981,121,0.9036021408382946,0.9271913569328215,121,0.9901572112098428,0.9938180011354564,120,0.4543524416135881,0.3556517242259568,58,0.7036290322580645,0.7685761581645423,44,0.25705705705705706,0.15042043814771086,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,DIRECT_EVIDENCE_EFFECT,nucleotide,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4365,,,121,,,121,,,121,,,0,,,0,,,0,0.0,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,LOCAL_CONFLICT_EFFECT,pair,605,121,0,0,0,0,0,608,0,0,0,608,0,0,0,0,608,0,608,0,608,4365,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,58,1.0,1.0,58,0.13928980526918672,0.1070409756409218,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,NON_EVIDENCED_EFFECT,pair,605,121,0,7611,367,769,7315,597,1065,7254,61,377,220,357,147,7474,438,504,734,208,942,4365,0.953998495863625,0.9685547874515171,121,0.9082338902147972,0.9332581672909575,121,0.9305538574397848,0.9465994712184265,121,0.991660970608339,0.994398866880964,120,0.6314907872696818,0.457848682036562,56,0.7791932059447984,0.7967666433496631,44,0.086368843069874,0.0445026083912267,121
rnafold,POSITIVE_PAIR_EVIDENCE,0,DIRECT_EVIDENCE_EFFECT,pair,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,,,0,,,0,,,0
rnafold,POSITIVE_PAIR_EVIDENCE,0,LOCAL_CONFLICT_EFFECT,pair,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,,,0,,,0,,,0
rnafold,POSITIVE_PAIR_EVIDENCE,0,NON_EVIDENCED_EFFECT,pair,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,1.0,1.0,120,0.0,0.0,51,,,0,,,0
rnafold,POSITIVE_PAIR_EVIDENCE,1,DIRECT_EVIDENCE_EFFECT,pair,605,121,0,605,0,0,561,0,44,561,0,0,0,44,0,561,0,44,44,0,44,605,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,1.0,1.0,120,,,0,1.0,1.0,24,0.0,0.0,121
rnafold,POSITIVE_PAIR_EVIDENCE,1,LOCAL_CONFLICT_EFFECT,pair,605,121,0,0,0,0,0,29,0,0,0,29,0,0,0,0,29,0,29,0,29,605,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,12,1.0,1.0,12,0.047933884297520664,0.04793388429752066,121
rnafold,POSITIVE_PAIR_EVIDENCE,1,NON_EVIDENCED_EFFECT,pair,605,121,0,6859,990,916,6804,1071,971,6716,88,179,892,143,98,7608,267,241,322,186,508,605,0.8738692827111734,0.9130296437252537,121,0.8821864951768489,0.9217919370970618,121,0.8780081925243216,0.9122107489210262,121,0.9870664315108759,0.9778068415196833,120,0.16713352007469653,0.08722162411401346,51,0.6338582677165354,0.6480557123437565,17,0.2958677685950413,0.2958677685950413,121
rnafold,POSITIVE_PAIR_EVIDENCE,5,DIRECT_EVIDENCE_EFFECT,pair,603,121,0,648,0,0,583,0,65,583,0,0,0,65,0,583,0,65,65,0,65,648,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,1.0,1.0,120,,,0,1.0,1.0,22,0.0,0.0,121
rnafold,POSITIVE_PAIR_EVIDENCE,5,LOCAL_CONFLICT_EFFECT,pair,603,121,0,0,0,0,0,48,0,0,0,48,0,0,0,0,48,0,48,0,48,648,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,12,1.0,1.0,12,0.07407407407407407,0.051515151515151514,121
rnafold,POSITIVE_PAIR_EVIDENCE,5,NON_EVIDENCED_EFFECT,pair,603,121,0,6919,887,793,6764,1052,948,6636,128,354,698,283,189,7334,482,472,637,317,954,648,0.8863694593902126,0.9199327928633605,121,0.8971732365145229,0.9273316678494317,121,0.8917386261116124,0.9181994607939653,121,0.9810762862211709,0.9704670368389644,120,0.3365019011406844,0.15287459387166136,51,0.6677148846960168,0.6640084492856512,19,0.5462962962962963,0.3603305785123967,121
rnafold,POSITIVE_PAIR_EVIDENCE,10,DIRECT_EVIDENCE_EFFECT,pair,595,121,0,879,0,0,794,0,85,794,0,0,0,85,0,794,0,85,85,0,85,879,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,1.0,1.0,120,,,0,1.0,1.0,24,0.0,0.0,121
rnafold,POSITIVE_PAIR_EVIDENCE,10,LOCAL_CONFLICT_EFFECT,pair,595,121,0,0,0,0,0,70,0,0,0,70,0,0,0,0,70,0,70,0,70,879,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,12,1.0,1.0,12,0.07963594994311718,0.042451790633608814,121
rnafold,POSITIVE_PAIR_EVIDENCE,10,NON_EVIDENCED_EFFECT,pair,595,121,0,6697,741,611,6476,951,832,6396,80,380,571,301,170,6967,460,471,681,250,931,879,0.9003764452809895,0.9206241729655243,121,0.9163929939792008,0.9321283462740816,121,0.9083141190831412,0.9215560683268464,121,0.9876466954910439,0.9789177122258721,120,0.39957939011566773,0.15052649667253168,51,0.7314715359828142,0.7072218941723283,17,0.4323094425483504,0.2349586776859504,121
rnafold,POSITIVE_PAIR_EVIDENCE,20,DIRECT_EVIDENCE_EFFECT,pair,570,118,3,1514,0,0,1411,0,103,1411,0,0,0,103,0,1411,0,103,103,0,103,1514,1.0,1.0,118,1.0,1.0,118,1.0,1.0,118,1.0,1.0,114,,,0,1.0,1.0,25,0.0,0.0,118
rnafold,POSITIVE_PAIR_EVIDENCE,20,LOCAL_CONFLICT_EFFECT,pair,570,118,3,0,0,0,0,90,0,0,0,90,0,0,0,0,90,0,90,0,90,1514,1.0,1.0,118,1.0,1.0,118,1.0,1.0,118,,,0,1.0,1.0,14,1.0,1.0,14,0.059445178335535004,0.03951524934575782,118
rnafold,POSITIVE_PAIR_EVIDENCE,20,NON_EVIDENCED_EFFECT,pair,570,118,3,5690,470,298,5555,608,433,5491,64,191,417,199,53,5908,255,252,390,117,507,1514,0.9237012987012987,0.9294864609284136,118,0.9502338009352037,0.9427540283908679,118,0.936779716825815,0.9306652141910062,118,0.9884788478847885,0.9667103011751266,117,0.31414473684210525,0.18128450498079682,48,0.7692307692307693,0.6612663402869329,19,0.1261558784676354,0.12632529899479053,118
rnafold,POSITIVE_PAIR_EVIDENCE,50,DIRECT_EVIDENCE_EFFECT,pair,545,113,8,3714,0,0,3497,0,217,3497,0,0,0,217,0,3497,0,217,217,0,217,3714,1.0,1.0,113,1.0,1.0,113,1.0,1.0,113,1.0,1.0,112,,,0,1.0,1.0,26,0.0,0.0,113
rnafold,POSITIVE_PAIR_EVIDENCE,50,LOCAL_CONFLICT_EFFECT,pair,545,113,8,0,0,0,0,178,0,0,0,178,0,0,0,0,178,0,178,0,178,3714,1.0,1.0,113,1.0,1.0,113,1.0,1.0,113,,,0,1.0,1.0,17,1.0,1.0,17,0.04792676359719979,0.04121829962498319,113
rnafold,POSITIVE_PAIR_EVIDENCE,50,NON_EVIDENCED_EFFECT,pair,545,113,8,3289,333,78,3167,460,200,3160,7,162,298,129,35,3458,169,164,291,42,333,3714,0.9080618442849254,0.9198552039178834,113,0.9768339768339769,0.9712059954922595,113,0.9411933037630562,0.9386561634844116,113,0.9977897063467004,0.9925164069968736,112,0.3521739130434783,0.1777007265308831,44,0.8738738738738738,0.7592429336832323,14,0.04361873990306947,0.04956979058641463,113
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,DIRECT_EVIDENCE_EFFECT,nucleotide,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,121,,,121,,,121,,,0,,,0,,,0,,,0
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,LOCAL_CONFLICT_EFFECT,pair,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,,,0,,,0,,,0
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,NON_EVIDENCED_EFFECT,pair,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,1.0,1.0,120,0.0,0.0,51,,,0,,,0
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,DIRECT_EVIDENCE_EFFECT,nucleotide,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,,,121,,,121,,,121,,,0,,,0,,,0,0.0,0.0,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,LOCAL_CONFLICT_EFFECT,pair,605,121,0,0,0,0,0,73,0,0,0,73,0,0,0,0,73,0,73,0,73,605,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,42,1.0,1.0,42,0.1206611570247934,0.12066115702479338,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,NON_EVIDENCED_EFFECT,pair,605,121,0,7408,979,972,7365,1027,1015,7358,7,101,926,50,53,8284,108,103,151,60,211,605,0.8832717300584237,0.9238364411583446,121,0.8840095465393795,0.9222045957087484,121,0.8836404842846066,0.9185587340830326,121,0.9990495587236932,0.9989242424242425,120,0.09834469328140215,0.0731971862807169,51,0.7156398104265402,0.7474979661187787,22,0.1669421487603306,0.16694214876033056,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,DIRECT_EVIDENCE_EFFECT,nucleotide,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,,,121,,,121,,,121,,,0,,,0,,,0,0.0,0.0,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,LOCAL_CONFLICT_EFFECT,pair,605,121,0,0,0,0,0,83,0,0,0,83,0,0,0,0,83,0,83,0,83,670,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,37,1.0,1.0,37,0.12388059701492538,0.11504132231404958,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,NON_EVIDENCED_EFFECT,pair,605,121,0,7407,970,973,7365,1017,1015,7333,32,178,839,74,131,8172,210,205,252,163,415,670,0.8842067565954399,0.9240578978741076,121,0.883890214797136,0.9217023122828926,121,0.8840484573611028,0.9188053962364519,121,0.9956551255940258,0.9972569718928415,120,0.1750245821042281,0.08424614206170188,51,0.6072289156626506,0.5748381478195143,21,0.2656716417910448,0.17360881542699724,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,DIRECT_EVIDENCE_EFFECT,nucleotide,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925,,,121,,,121,,,121,,,0,,,0,,,0,0.0,0.0,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,LOCAL_CONFLICT_EFFECT,pair,605,121,0,0,0,0,0,132,0,0,0,132,0,0,0,0,132,0,132,0,132,925,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,42,1.0,1.0,42,0.14270270270270272,0.1065840220385675,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,NON_EVIDENCED_EFFECT,pair,605,121,0,7488,862,892,7365,968,1015,7343,22,264,704,145,158,8047,286,303,409,180,589,925,0.8967664670658683,0.9304317153672138,121,0.8935560859188544,0.9275756721510047,121,0.8951583980872684,0.924845033184596,121,0.9970128988458927,0.998094613407582,120,0.2727272727272727,0.1271952302611386,51,0.6943972835314092,0.6979776217030897,25,0.28540540540540543,0.1431129476584022,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,DIRECT_EVIDENCE_EFFECT,nucleotide,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1665,,,121,,,121,,,121,,,0,,,0,,,0,0.0,0.0,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,LOCAL_CONFLICT_EFFECT,pair,605,121,0,0,0,0,0,238,0,0,0,238,0,0,0,0,238,0,238,0,238,1665,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,48,1.0,1.0,48,0.14294294294294294,0.10657680703135249,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,NON_EVIDENCED_EFFECT,pair,605,121,0,7513,736,867,7365,862,1015,7300,65,322,540,213,196,7840,387,409,535,261,796,1665,0.9107770638865317,0.9355892875296238,121,0.8965393794749403,0.9265178397858981,121,0.9036021408382946,0.9271913569328215,121,0.991174473862865,0.9944141389802934,120,0.37354988399071926,0.14154921854527883,51,0.6721105527638191,0.6155586079740599,27,0.1933933933933934,0.07932178932178932,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,DIRECT_EVIDENCE_EFFECT,nucleotide,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4365,,,121,,,121,,,121,,,0,,,0,,,0,0.0,0.0,121
