channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_tp,sum_fp,sum_fn,sum_original_tp,sum_original_fp,sum_original_fn,sum_preserved_tp,sum_lost_tp,sum_removed_fp,sum_preserved_original_fp,sum_new_tp,sum_new_fp,sum_unchanged_pairs,sum_deleted_pairs,sum_added_pairs,sum_beneficial_changes,sum_harmful_changes,sum_modified_pair_count,sum_evidence_item_count,micro_precision,macro_precision,macro_precision_defined_rna_count,micro_recall,macro_recall,macro_recall_defined_rna_count,micro_f1,macro_f1,macro_f1_defined_rna_count,micro_tp_preservation,macro_tp_preservation,macro_tp_preservation_defined_rna_count,micro_fp_removal,macro_fp_removal,macro_fp_removal_defined_rna_count,micro_modification_precision,macro_modification_precision,macro_modification_precision_defined_rna_count,micro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item_defined_rna_count,macro_delta_f1_vs_b0,micro_delta_f1_vs_b0,macro_delta_f1_vs_b1,micro_delta_f1_vs_b1,micro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item_defined_rna_count
UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B1_LOCAL_HARD,1815,121,0,21985,4465,3155,21985,4465,3155,21985,0,0,4465,0,0,26450,0,0,0,0,0,0,0.8311909262759924,0.8521946259518096,121,0.874502784407319,0.9112435670539333,121,0.8522969567745687,0.8786352964320931,121,1.0,1.0,121,0.0,0.0,109,,,0,,,0,0.0,0.0,0.0,0.0,,,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B2_GLOBAL_REFOLD,1815,121,0,22095,3300,3045,21985,4465,3155,21560,425,2175,2290,535,1010,23850,2600,1545,2710,1435,4145,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,0.9806686377075279,0.9746047813793409,121,0.48712206047032475,0.706121992917003,109,0.6537997587454765,0.7650930462092486,110,,,0,0.027182315475862917,0.022146498256597758,0.027182315475862917,0.022146498256597758,,,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B0_ORIGINAL,1815,121,0,21985,4465,3155,21985,4465,3155,21985,0,0,4465,0,0,26450,0,0,0,0,0,1815,0.8311909262759924,0.8521946259518096,121,0.874502784407319,0.9112435670539333,121,0.8522969567745687,0.8786352964320931,121,1.0,1.0,121,0.0,0.0,109,,,0,0.0,0.0,121,0.0,0.0,-0.007613872261922117,-0.006005957590341726,0.0,0.0,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B1_LOCAL_HARD,1815,121,0,21985,4104,3155,21985,4465,3155,21985,0,361,4104,0,0,26089,361,0,361,0,361,1815,0.8426923224347426,0.8660697168632027,121,0.874502784407319,0.9112435670539333,121,0.8583029143649105,0.8862491686940153,121,1.0,1.0,121,0.08085106382978724,0.17977409659989269,109,1.0,1.0,99,0.19889807162534434,0.19889807162534434,121,0.007613872261922117,0.006005957590341726,0.0,0.0,3.3090675428880035e-06,0.0005075914841281415,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B2_GLOBAL_REFOLD,1815,121,0,22224,2937,2916,21985,4465,3155,21584,401,2527,1938,640,999,23522,2928,1639,3167,1400,4567,1815,0.8832717300584237,0.9238364411583446,121,0.8840095465393795,0.9222045957087484,121,0.8836404842846066,0.9185587340830326,121,0.9817602911075733,0.9792054641530801,121,0.5659574468085107,0.7703510673326134,109,0.6934530326253558,0.8204125915929332,112,1.3922865013774104,1.3922865013774104,121,0.03992343765093942,0.03134352751003788,0.0323095653890173,0.025337569919696157,1.7269161162555306e-05,0.0026615625100626303,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B0_ORIGINAL,1815,121,0,21985,4465,3155,21985,4465,3155,21985,0,0,4465,0,0,26450,0,0,0,0,0,2010,0.8311909262759924,0.8521946259518096,121,0.874502784407319,0.9112435670539333,121,0.8522969567745687,0.8786352964320931,121,1.0,1.0,121,0.0,0.0,109,,,0,0.0,0.0,121,0.0,0.0,-0.008106986894743873,-0.006726995087268484,0.0,0.0,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B1_LOCAL_HARD,1815,121,0,21985,4061,3155,21985,4465,3155,21985,0,404,4061,0,0,26046,404,0,404,0,404,2010,0.8440835444981954,0.8669641465796082,121,0.874502784407319,0.9112435670539333,121,0.8590239518618372,0.886742283326837,121,1.0,1.0,121,0.09048152295632698,0.16216220645146753,109,1.0,1.0,96,0.2009950248756219,0.1971166207529844,121,0.008106986894743873,0.006726995087268484,0.0,0.0,3.3467637250091957e-06,0.0005271500096411041,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B2_GLOBAL_REFOLD,1815,121,0,22221,2910,2919,21985,4465,3155,21527,458,2692,1773,694,1137,23300,3150,1831,3386,1595,4981,2010,0.8842067565954399,0.9240578978741076,121,0.883890214797136,0.9217023122828926,121,0.8840484573611028,0.9188053962364519,121,0.9791676142824653,0.9781331546395095,121,0.6029115341545352,0.7769414695469113,109,0.6797831760690625,0.8164561152286206,111,1.3393034825870647,1.2209182736455464,121,0.040170099804358705,0.03175150058653409,0.03206311290961483,0.025024505499265604,1.5796766460962233e-05,0.002670582774123822,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B0_ORIGINAL,1815,121,0,21985,4465,3155,21985,4465,3155,21985,0,0,4465,0,0,26450,0,0,0,0,0,2775,0.8311909262759924,0.8521946259518096,121,0.874502784407319,0.9112435670539333,121,0.8522969567745687,0.8786352964320931,121,1.0,1.0,121,0.0,0.0,109,,,0,0.0,0.0,121,0.0,0.0,-0.009402059132486262,-0.009471265399744855,0.0,0.0,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B1_LOCAL_HARD,1815,121,0,21985,3898,3155,21985,4465,3155,21985,0,567,3898,0,0,25883,567,0,567,0,567,2775,0.8493992195649654,0.8692273536888846,121,0.874502784407319,0.9112435670539333,121,0.8617682221743136,0.8880373555645794,121,1.0,1.0,121,0.12698768197088467,0.18942413847722586,109,1.0,1.0,99,0.20432432432432432,0.1825528007346189,121,0.009402059132486262,0.009471265399744855,0.0,0.0,3.4130686125206682e-06,0.000486003377625879,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B2_GLOBAL_REFOLD,1815,121,0,22464,2586,2676,21985,4465,3155,21600,385,2967,1498,864,1088,23098,3352,1952,3831,1473,5304,2775,0.8967664670658683,0.9304317153672138,121,0.8935560859188544,0.9275756721510047,121,0.8951583980872684,0.924845033184596,121,0.982488060040937,0.9822968138600167,121,0.664501679731243,0.7921654620971728,109,0.7222850678733032,0.8231681555825924,112,1.0691891891891891,0.9465748393021121,121,0.04620973675250284,0.042861441312699644,0.03680767762001658,0.03339017591295479,1.544556443700888e-05,0.002364755443963726,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B0_ORIGINAL,1815,121,0,21985,4465,3155,21985,4465,3155,21985,0,0,4465,0,0,26450,0,0,0,0,0,4995,0.8311909262759924,0.8521946259518096,121,0.874502784407319,0.9112435670539333,121,0.8522969567745687,0.8786352964320931,121,1.0,1.0,121,0.0,0.0,109,,,0,0.0,0.0,121,0.0,0.0,-0.016149838950041517,-0.017156495728792853,0.0,0.0,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B1_LOCAL_HARD,1815,121,0,21985,3447,3155,21985,4465,3155,21985,0,1018,3447,0,0,25432,1018,0,1018,0,1018,4995,0.8644620949984272,0.8818620405018306,121,0.874502784407319,0.9112435670539333,121,0.8694534525033616,0.8947851353821347,121,1.0,1.0,121,0.22799552071668533,0.31341240478537685,109,1.0,1.0,106,0.2038038038038038,0.18076457212820848,121,0.016149838950041517,0.017156495728792853,0.0,0.0,3.434733879638209e-06,0.00048288476978189073,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B2_GLOBAL_REFOLD,1815,121,0,22539,2208,2601,21985,4465,3155,21528,457,3312,1153,1011,1055,22681,3769,2066,4323,1512,5835,4995,0.9107770638865317,0.9355892875296238,121,0.8965393794749403,0.9265178397858981,121,0.9036021408382946,0.9271913569328215,121,0.9792130998408005,0.9793292660302528,121,0.7417693169092945,0.8286826539661952,109,0.7408740359897172,0.8344678959982673,112,0.6630630630630631,0.5477965805238533,121,0.04855606050072836,0.05130518406372586,0.03240622155068684,0.03414868833493301,1.0271308120866038e-05,0.001290241243374967,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B0_ORIGINAL,1815,121,0,21985,4465,3155,21985,4465,3155,21985,0,0,4465,0,0,26450,0,0,0,0,0,13095,0.8311909262759924,0.8521946259518096,121,0.874502784407319,0.9112435670539333,121,0.8522969567745687,0.8786352964320931,121,1.0,1.0,121,0.0,0.0,109,,,0,0.0,0.0,121,0.0,0.0,-0.036776733868455924,-0.0392458563400524,0.0,0.0,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B1_LOCAL_HARD,1815,121,0,21985,2194,3155,21985,4465,3155,21985,0,2271,2194,0,0,24179,2271,0,2271,0,2271,13095,0.9092601017411803,0.9229538690540804,121,0.874502784407319,0.9112435670539333,121,0.8915428131146211,0.9154120303005491,121,1.0,1.0,121,0.5086226203807391,0.7005422230435088,109,1.0,1.0,108,0.1734249713631157,0.15224943746976177,121,0.036776733868455924,0.0392458563400524,0.0,0.0,2.9970107934366094e-06,0.00040953668999601974,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B2_GLOBAL_REFOLD,1815,121,0,22833,1101,2307,21985,4465,3155,21594,391,3974,491,1239,610,22085,4365,1849,5213,1001,6214,13095,0.953998495863625,0.9685547874515171,121,0.9082338902147972,0.9332581672909575,121,0.9305538574397848,0.9465994712184265,121,0.9822151466909256,0.9826742098901403,121,0.89003359462486,0.9308807164170242,109,0.8389121338912134,0.8950834334660861,112,0.3034746086292478,0.24081385494084998,121,0.06796417478633332,0.07825690066521607,0.031187440917877396,0.03901104432516367,5.976090161528528e-06,0.0006637934190205615,121
