metric,value
macro_delta_f1,0.02362839097417308
micro_delta_f1,0.0391873621290828
modification_precision,0.9651162790697675
delete_recall,0.6974789915966386
correct_pair_preservation,0.9964028776978417
modified_pair_count,86
modified_rna_count,28
