epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.3338387360950621,0.4875550900942713,0.7655922822350142
1,0.11425832789249661,0.7796219137585992,0.7493940947618973
2,0.056034915612227156,1.0667749535984612,0.736659027365643
3,0.031599579337148034,1.3399685600378475,0.7413962743423577
4,0.02860469730957007,1.3564448048556892,0.7453447763613542
5,0.023340481400442103,1.4307810044205223,0.7395898966808147
6,0.019769074022080474,1.5971347278067354,0.7397281655630786
7,0.01996570818838762,1.6984450983700092,0.7351653941696121
8,0.02069968990709524,1.706124199655499,0.7338733429166006
9,0.017880040453989155,1.7465323806123467,0.734980809404155
10,0.01590811972636409,1.8750399199050334,0.7362281971129752
11,0.014114282330061694,1.9192710134169484,0.7330914006132399
12,0.024191407832231712,1.712732246534044,0.7291573231059847
