source_model,n_samples,sum_tp,sum_fp,sum_fn,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,median_f1,std_f1,min_f1,max_f1
rnafold,121,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.972972972972973,0.16958044082271256,0.0,1.0
petfold,121,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.9473684210526315,0.16919222322881503,0.0,1.0
trrosettarna2_native_ss,121,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.9090909090909091,0.21849872746130172,0.0,1.0
