epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.3314998346859614,0.220704540042025,0.861319850424631
1,0.11931804988018807,0.3344764566201335,0.8287048966896965
2,0.07443516252955189,0.4323358893629888,0.8199613760103047
3,0.05169826732123785,0.45075595569565535,0.8286439237329151
4,0.04414444851851801,0.491021235113537,0.82997451039303
5,0.03715184550293779,0.5268280884881051,0.8242242921592644
6,0.030275434187776833,0.5862834504140898,0.8218563612563515
7,0.03180386777416474,0.6169356150393072,0.8284903753806071
8,0.031227641456555225,0.606809761454141,0.8247625937586013
9,0.027374287971350043,0.6607747084494028,0.8288450812717868
10,0.025273120675145054,0.6923359792839927,0.8296355396826326
11,0.024777153966431598,0.694464120845683,0.8240634473246689
12,0.019987487547572676,0.7739541278053336,0.8288839603517901
