metric,value
macro_delta_f1,0.013804627486881771
micro_delta_f1,0.02824345470257139
modification_precision,1.0
delete_recall,0.48739495798319327
correct_pair_preservation,1.0
modified_pair_count,58
modified_rna_count,18
