epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.3056923838523094,0.33446380932123115,0.7958647727413424
1,0.062288578422698464,0.5001288916399236,0.801857693998169
2,0.02892788381828851,0.6658687435083654,0.7833209503095814
3,0.02350324670438573,0.6740166232796282,0.7920042640758546
4,0.016899281210081916,0.8523583885475018,0.7713620223025
5,0.015335557761547047,0.8756710971083653,0.7711782297161955
6,0.014630635710302656,0.9877410955042129,0.7785639125401667
7,0.011740291867492154,1.084034874993456,0.7827857149728746
8,0.012512274142549042,1.13299651786964,0.7575029302841316
9,0.009489778453274596,1.2642389109023813,0.7674706845049997
10,0.009594782817400012,1.3776509700526038,0.7744842033293026
11,0.011683474032507198,1.2427932018305574,0.7729021783179673
12,0.007673851583325117,1.40567368936463,0.7886089193536355
