source_model,n_samples,gt_pair_count,predicted_pair_count,tp_count,fp_count,fn_count,wrong_partner_event_count,pure_false_positive_count,missing_pairs_linked_to_wrong_partner,pure_missing_pair_count,fp_rate_among_predictions,fn_rate_among_gt,wrong_partner_fraction_of_fp,pure_fp_fraction_of_fp,linked_missing_fraction_of_fn,pure_missing_fraction_of_fn,gt_stem_instances,predicted_stem_instances,exact_count,stem_truncation_count,stem_extension_count,stem_shift_count,isolated_complex_mismatch_count,ambiguous_gt_stem_count,ambiguous_predicted_stem_count,stem_missing_count,unmatched_predicted_stem_count,ambiguous_component_count,isolated_match_count,fraction_gt_stems_exact,fraction_gt_stems_truncation,fraction_gt_stems_extension,fraction_gt_stems_shift,fraction_gt_stems_isolated_complex,fraction_gt_stems_missing,fraction_gt_stems_ambiguous,fraction_predicted_stems_ambiguous,fraction_predicted_stems_unmatched,fraction_isolated_matches_exact,fraction_isolated_matches_truncation,fraction_isolated_matches_extension,fraction_isolated_matches_shift,fraction_isolated_matches_complex,highest_separation_fp_fraction,highest_separation_fn_fraction,fp_pairs_in_extension_stems,fp_pairs_in_unmatched_predicted_stems,fp_pairs_in_ambiguous_predicted_stems,fp_pairs_outside_predicted_strict_stems,fraction_fp_in_extension_stems,fraction_fp_in_unmatched_predicted_stems,mean_gt_strict_stem_length,mean_predicted_strict_stem_length
rnafold,121,1676,1693,1473,220,203,130,90,131,72,0.1299468399291199,0.12112171837708831,0.5909090909090909,0.4090909090909091,0.645320197044335,0.35467980295566504,335,326,227,5,44,2,1,10,5,46,42,5,279,0.6776119402985075,0.014925373134328358,0.13134328358208955,0.005970149253731343,0.0029850746268656717,0.1373134328358209,0.029850746268656716,0.015337423312883436,0.12883435582822086,0.8136200716845878,0.017921146953405017,0.15770609318996415,0.007168458781362007,0.0035842293906810036,0.02727272727272727,0.0,50,142,9,6,0.22727272727272727,0.6454545454545455,4.883582089552239,5.153374233128834
petfold,121,1676,1704,1463,241,213,136,105,137,76,0.1414319248826291,0.12708830548926014,0.5643153526970954,0.43568464730290457,0.6431924882629108,0.3568075117370892,335,312,203,4,42,2,1,35,16,48,44,16,252,0.6059701492537314,0.011940298507462687,0.1253731343283582,0.005970149253731343,0.0029850746268656717,0.14328358208955225,0.1044776119402985,0.05128205128205128,0.14102564102564102,0.8055555555555556,0.015873015873015872,0.16666666666666666,0.007936507936507936,0.003968253968253968,0.02074688796680498,0.0,49,146,25,8,0.2033195020746888,0.6058091286307054,4.883582089552239,5.42948717948718
trrosettarna2_native_ss,121,1676,1893,1461,432,215,169,263,158,57,0.22820919175911253,0.1282816229116945,0.3912037037037037,0.6087962962962963,0.7348837209302326,0.2651162790697674,335,295,112,1,103,6,5,68,32,40,36,32,227,0.33432835820895523,0.0029850746268656717,0.3074626865671642,0.01791044776119403,0.014925373134328358,0.11940298507462686,0.20298507462686566,0.10847457627118644,0.12203389830508475,0.4933920704845815,0.004405286343612335,0.45374449339207046,0.02643171806167401,0.022026431718061675,0.034722222222222224,0.0,146,125,83,49,0.33796296296296297,0.28935185185185186,4.883582089552239,6.203389830508475
