source_model,pair_level_ranking_basis,pair_level_rank_1,pair_level_rank_1_count,pair_level_rank_1_fraction_of_pair_errors,pair_level_rank_2,pair_level_rank_2_count,pair_level_rank_2_fraction_of_pair_errors,pair_level_rank_3,pair_level_rank_3_count,pair_level_rank_3_fraction_of_pair_errors,stem_level_ranking_basis,stem_level_rank_1,stem_level_rank_1_count,stem_level_rank_1_fraction_of_gt_stems,stem_level_rank_2,stem_level_rank_2_count,stem_level_rank_2_fraction_of_gt_stems,stem_level_rank_3,stem_level_rank_3_count,stem_level_rank_3_fraction_of_gt_stems,unmatched_predicted_stem_count,unmatched_predicted_rate,dominant_model_specific_pattern,confidence_of_description,confidence_basis
rnafold,mutually_exclusive pair-error events; denominator=FP+FN,missing_pair,203,0.4799054373522459,wrong_partner_fp,130,0.3073286052009456,pure_false_positive_pair,90,0.2127659574468085,GT-side error dispositions; denominator=gt_stem_instances; exact excluded,stem_missing,46,0.1373134328358209,stem_extension,44,0.13134328358208955,ambiguous_gt_stem,10,0.029850746268656716,42,0.12883435582822086,no_clear_unique_dominant_pattern; core profile resembles PETfold,MODERATE,missing and extension GT-stem rates are near-tied; ambiguity is lower than the other models
petfold,mutually_exclusive pair-error events; denominator=FP+FN,missing_pair,213,0.46916299559471364,wrong_partner_fp,136,0.29955947136563876,pure_false_positive_pair,105,0.23127753303964757,GT-side error dispositions; denominator=gt_stem_instances; exact excluded,stem_missing,48,0.14328358208955225,stem_extension,42,0.1253731343283582,ambiguous_gt_stem,35,0.1044776119402985,44,0.14102564102564102,no_clear_unique_dominant_pattern; core profile resembles RNAfold,MODERATE,"missing and extension lead, with an intermediate ambiguous-GT-stem rate"
trrosettarna2_native_ss,mutually_exclusive pair-error events; denominator=FP+FN,pure_false_positive_pair,263,0.40649149922720246,missing_pair,215,0.3323029366306028,wrong_partner_fp,169,0.26120556414219476,GT-side error dispositions; denominator=gt_stem_instances; exact excluded,stem_extension,103,0.3074626865671642,ambiguous_gt_stem,68,0.20298507462686566,stem_missing,40,0.11940298507462686,36,0.12203389830508475,stem_extension_and_ambiguous_gt_stem_skew_with_pure_fp_dominance,HIGH,extension and ambiguity rates exceed both other models; pure FP is the largest pair-error partition
