scope,source_model,condition,total_predicted_pairs,tp_count,fp_count,fp_fraction,beneficial_deletion_potential_count,beneficial_deletion_potential_fraction
pooled,pooled,support_other_count_0,504,80,424,0.8412698412698413,424,0.8412698412698413
pooled,pooled,support_other_count_1,586,216,370,0.6313993174061433,370,0.6313993174061433
pooled,pooled,support_other_count_2,4200,4101,99,0.023571428571428573,99,0.023571428571428573
pooled,pooled,no_exact_support_plus_partner_conflict,272,60,212,0.7794117647058824,212,0.7794117647058824
pooled,pooled,no_exact_support_plus_singleton,74,13,61,0.8243243243243243,61,0.8243243243243243
pooled,pooled,exact_support_by_one_other_model,586,216,370,0.6313993174061433,370,0.6313993174061433
pooled,pooled,exact_support_by_both_other_models,4200,4101,99,0.023571428571428573,99,0.023571428571428573
