variant,source_model,metric,n_runs,mean,std_population,median,fold_mean_min,fold_mean_max,n_folds_with_deployable_runs
POOLED_SOURCE_AWARE,rnafold,modification_precision,15,0.2685185185185185,0.3764774279718384,0.0,0.0,0.7777777777777778,4
POOLED_SOURCE_AWARE,rnafold,delete_recall,16,0.020346625492302182,0.028106498811520775,0.0,0.0,0.08163265306122448,4
POOLED_SOURCE_AWARE,rnafold,correct_pair_preservation,16,0.9894022667006428,0.010027651291609811,0.9912274198729829,0.9844660194174757,0.99822695035461,4
POOLED_SOURCE_AWARE,rnafold,macro_delta_f1,16,-0.002677018372902601,0.002982111993272985,-0.001972570372293528,-0.0049166457400204745,-7.110879936414463e-05,4
POOLED_SOURCE_AWARE,rnafold,micro_delta_f1,16,-0.003899273881604888,0.005166303960378387,-0.0030649430732125893,-0.006989467006622818,0.000728246023182999,4
POOLED_SOURCE_AWARE,rnafold,modified_rna_count,16,2.5,1.620185174601965,2.5,1.0,3.5,4
POOLED_SOURCE_AWARE,petfold,modification_precision,16,0.570501893939394,0.2750035539214094,0.4,0.3616666666666667,1.0,4
POOLED_SOURCE_AWARE,petfold,delete_recall,16,0.1285515877961539,0.04952386463768024,0.13592233009708737,0.0975609756097561,0.1789473684210526,4
POOLED_SOURCE_AWARE,petfold,correct_pair_preservation,16,0.9841404421828779,0.012201133107133815,0.9847036766050851,0.9772727272727273,1.0,4
POOLED_SOURCE_AWARE,petfold,macro_delta_f1,16,-0.0004969708506767372,0.0034321095189790204,-0.0003557604100796907,-0.004499901744183968,0.0036778237865194435,4
POOLED_SOURCE_AWARE,petfold,micro_delta_f1,16,-0.0016214083129978477,0.005799170831398476,-0.0038175224279441977,-0.005825723271505101,0.005754938930574549,4
POOLED_SOURCE_AWARE,petfold,modified_rna_count,16,5.125,1.653594569415369,5.0,3.0,6.5,4
POOLED_SOURCE_AWARE,trrosettarna2_native_ss,modification_precision,16,0.9605982388027102,0.021272700783316147,0.9607692307692308,0.94951952200264,0.9790513279779997,4
