variant,mode,source_model,metric,n_runs,mean,std_population,median,fold_mean_min,fold_mean_max,n_folds_with_deployable_runs
LOMO_HOLDOUT_RNAFOLD,LEARNED_UNGATED,rnafold,modification_precision,25,0.30222543088904374,0.11916383472895255,0.32558139534883723,0.15028703703703702,0.4556954402786113,5
LOMO_HOLDOUT_RNAFOLD,LEARNED_UNGATED,rnafold,delete_recall,25,0.45333598064425135,0.14509623059838467,0.4166666666666667,0.27999999999999997,0.6918367346938775,5
LOMO_HOLDOUT_RNAFOLD,LEARNED_UNGATED,rnafold,correct_pair_preservation,25,0.8527679260105643,0.06185471394910905,0.8865248226950354,0.7698863636363636,0.9170731707317072,5
LOMO_HOLDOUT_RNAFOLD,LEARNED_UNGATED,rnafold,macro_delta_f1,25,-0.04595896457284443,0.01840350950993011,-0.036097291955164756,-0.07074843525814113,-0.0288865320862065,5
LOMO_HOLDOUT_RNAFOLD,LEARNED_UNGATED,rnafold,micro_delta_f1,25,-0.05117054472795376,0.02606504086227238,-0.03734809688581309,-0.09693527412804445,-0.027222741758153667,5
LOMO_HOLDOUT_RNAFOLD,LEARNED_UNGATED,rnafold,modified_rna_count,25,16.6,2.1908902300206643,17.0,14.0,18.6,5
LOMO_HOLDOUT_RNAFOLD,LEARNED_SELECTIVE,pooled,modification_precision,15,0.31444444444444447,0.3524972638016561,0.25,0.0,0.7333333333333333,3
LOMO_HOLDOUT_RNAFOLD,LEARNED_SELECTIVE,pooled,delete_recall,15,0.021637426900584796,0.024926507574088486,0.02631578947368421,0.0,0.03333333333333333,3
LOMO_HOLDOUT_RNAFOLD,LEARNED_SELECTIVE,pooled,correct_pair_preservation,15,0.9939804801595099,0.006377577090726188,0.9965156794425087,0.9896440129449839,0.997872340425532,3
LOMO_HOLDOUT_RNAFOLD,LEARNED_SELECTIVE,pooled,macro_delta_f1,15,-0.0010942711820636035,0.0012915302032116438,-0.0008768746976294169,-0.0017466839007719542,-0.00014669043232152048,3
LOMO_HOLDOUT_RNAFOLD,LEARNED_SELECTIVE,pooled,micro_delta_f1,15,-0.0018885736013574128,0.0026911456033193253,-0.0016082088573851072,-0.0035598879091715665,0.0006805279838843159,3
LOMO_HOLDOUT_RNAFOLD,LEARNED_SELECTIVE,pooled,modified_rna_count,15,1.8,0.9797958971132712,1.0,1.6,2.0,3
