variant,fold,seed,mode,source_model,threshold,macro_delta_f1,micro_delta_f1,modification_precision,delete_recall,correct_pair_preservation,modified_pair_count,modified_rna_count,beneficial_edit_count,harmful_edit_count
LOMO_HOLDOUT_PETFOLD,1,29,LEARNED_SELECTIVE,petfold,0.95,0.0023715538847117836,0.0032352076147695863,1.0,0.05555555555555555,1.0,2,2,2,0
LOMO_HOLDOUT_PETFOLD,1,41,LEARNED_UNGATED,pooled,0.5,-0.011628098309177612,-0.01211792883211682,0.4722222222222222,0.4722222222222222,0.9214876033057852,36,17,17,19
LOMO_HOLDOUT_PETFOLD,1,41,LEARNED_UNGATED,petfold,0.5,-0.011628098309177612,-0.01211792883211682,0.4722222222222222,0.4722222222222222,0.9214876033057852,36,17,17,19
LOMO_HOLDOUT_PETFOLD,1,53,LEARNED_UNGATED,pooled,0.5,-0.01972363303009933,-0.014842327162175706,0.46153846153846156,0.5,0.9132231404958677,39,19,18,21
LOMO_HOLDOUT_PETFOLD,1,53,LEARNED_UNGATED,petfold,0.5,-0.01972363303009933,-0.014842327162175706,0.46153846153846156,0.5,0.9132231404958677,39,19,18,21
LOMO_HOLDOUT_PETFOLD,1,67,LEARNED_UNGATED,pooled,0.5,-0.021467579266884904,-0.01550739867647477,0.4411764705882353,0.4166666666666667,0.9214876033057852,34,18,15,19
LOMO_HOLDOUT_PETFOLD,1,67,LEARNED_UNGATED,petfold,0.5,-0.021467579266884904,-0.01550739867647477,0.4411764705882353,0.4166666666666667,0.9214876033057852,34,18,15,19
LOMO_HOLDOUT_PETFOLD,2,17,LEARNED_UNGATED,pooled,0.5,-0.05849203994156099,-0.0483992789454073,0.49324324324324326,0.7087378640776699,0.7844827586206896,148,21,73,75
LOMO_HOLDOUT_PETFOLD,2,17,LEARNED_UNGATED,petfold,0.5,-0.05849203994156099,-0.0483992789454073,0.49324324324324326,0.7087378640776699,0.7844827586206896,148,21,73,75
LOMO_HOLDOUT_PETFOLD,2,17,LEARNED_SELECTIVE,pooled,0.95,0.00048790555233574107,-0.0009255313563429901,0.5833333333333334,0.06796116504854369,0.985632183908046,12,5,7,5
LOMO_HOLDOUT_PETFOLD,2,17,LEARNED_SELECTIVE,petfold,0.95,0.00048790555233574107,-0.0009255313563429901,0.5833333333333334,0.06796116504854369,0.985632183908046,12,5,7,5
LOMO_HOLDOUT_PETFOLD,2,29,LEARNED_UNGATED,pooled,0.5,-0.05010917350527396,-0.03789741800616642,0.5109489051094891,0.6796116504854369,0.8074712643678161,137,20,70,67
LOMO_HOLDOUT_PETFOLD,2,29,LEARNED_UNGATED,petfold,0.5,-0.05010917350527396,-0.03789741800616642,0.5109489051094891,0.6796116504854369,0.8074712643678161,137,20,70,67
LOMO_HOLDOUT_PETFOLD,2,29,LEARNED_SELECTIVE,pooled,0.95,0.0018846981039931422,0.0014911164430800872,0.7142857142857143,0.04854368932038835,0.9942528735632183,7,4,5,2
LOMO_HOLDOUT_PETFOLD,2,29,LEARNED_SELECTIVE,petfold,0.95,0.0018846981039931422,0.0014911164430800872,0.7142857142857143,0.04854368932038835,0.9942528735632183,7,4,5,2
LOMO_HOLDOUT_PETFOLD,2,41,LEARNED_UNGATED,pooled,0.5,-0.055287826403952085,-0.04242698176965631,0.5068493150684932,0.7184466019417476,0.7931034482758621,146,19,74,72
LOMO_HOLDOUT_PETFOLD,2,41,LEARNED_UNGATED,petfold,0.5,-0.055287826403952085,-0.04242698176965631,0.5068493150684932,0.7184466019417476,0.7931034482758621,146,19,74,72
LOMO_HOLDOUT_PETFOLD,2,41,LEARNED_SELECTIVE,pooled,0.95,2.004506453507267e-05,-7.578739435609716e-05,0.6153846153846154,0.07766990291262135,0.985632183908046,13,5,8,5
LOMO_HOLDOUT_PETFOLD,2,41,LEARNED_SELECTIVE,petfold,0.95,2.004506453507267e-05,-7.578739435609716e-05,0.6153846153846154,0.07766990291262135,0.985632183908046,13,5,8,5
LOMO_HOLDOUT_PETFOLD,2,53,LEARNED_UNGATED,pooled,0.5,-0.05411600757842141,-0.04075801130940959,0.5103448275862069,0.7184466019417476,0.7959770114942529,145,20,74,71
LOMO_HOLDOUT_PETFOLD,2,53,LEARNED_UNGATED,petfold,0.5,-0.05411600757842141,-0.04075801130940959,0.5103448275862069,0.7184466019417476,0.7959770114942529,145,20,74,71
LOMO_HOLDOUT_PETFOLD,2,53,LEARNED_SELECTIVE,pooled,0.95,0.000739288156659521,0.0007758512029976128,0.6428571428571429,0.08737864077669903,0.985632183908046,14,5,9,5
LOMO_HOLDOUT_PETFOLD,2,53,LEARNED_SELECTIVE,petfold,0.95,0.000739288156659521,0.0007758512029976128,0.6428571428571429,0.08737864077669903,0.985632183908046,14,5,9,5
LOMO_HOLDOUT_PETFOLD,2,67,LEARNED_UNGATED,pooled,0.5,-0.047493068979080684,-0.032036846334038804,0.5259259259259259,0.6893203883495146,0.8160919540229885,135,20,71,64
LOMO_HOLDOUT_PETFOLD,2,67,LEARNED_UNGATED,petfold,0.5,-0.047493068979080684,-0.032036846334038804,0.5259259259259259,0.6893203883495146,0.8160919540229885,135,20,71,64
LOMO_HOLDOUT_PETFOLD,2,67,LEARNED_SELECTIVE,pooled,0.95,0.0006470601232550175,-7.578739435609716e-05,0.6153846153846154,0.07766990291262135,0.985632183908046,13,5,8,5
LOMO_HOLDOUT_PETFOLD,2,67,LEARNED_SELECTIVE,petfold,0.95,0.0006470601232550175,-7.578739435609716e-05,0.6153846153846154,0.07766990291262135,0.985632183908046,13,5,8,5
LOMO_HOLDOUT_PETFOLD,3,17,LEARNED_UNGATED,pooled,0.5,-0.02259501634178494,-0.026550171018321023,0.30303030303030304,0.5263157894736842,0.9190140845070423,33,13,10,23
LOMO_HOLDOUT_PETFOLD,3,17,LEARNED_UNGATED,petfold,0.5,-0.02259501634178494,-0.026550171018321023,0.30303030303030304,0.5263157894736842,0.9190140845070423,33,13,10,23
LOMO_HOLDOUT_PETFOLD,3,17,LEARNED_SELECTIVE,pooled,0.9,-0.003269472268318386,-0.004263515560749664,0.375,0.15789473684210525,0.9823943661971831,8,4,3,5
LOMO_HOLDOUT_PETFOLD,3,17,LEARNED_SELECTIVE,petfold,0.9,-0.003269472268318386,-0.004263515560749664,0.375,0.15789473684210525,0.9823943661971831,8,4,3,5
LOMO_HOLDOUT_PETFOLD,3,29,LEARNED_UNGATED,pooled,0.5,-0.022445111467980495,-0.02554047259929615,0.25925925925925924,0.3684210526315789,0.9295774647887324,27,12,7,20
LOMO_HOLDOUT_PETFOLD,3,29,LEARNED_UNGATED,petfold,0.5,-0.022445111467980495,-0.02554047259929615,0.25925925925925924,0.3684210526315789,0.9295774647887324,27,12,7,20
