epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.33298987718906553,0.4637177579026182,0.7808848069847469
1,0.097647610464815,0.6550266331583756,0.7751196911250038
2,0.05473363495052695,0.9225783038747974,0.7629910590219489
3,0.037151482229874626,1.1083681060792059,0.7607197547939016
4,0.032556622962520994,1.1931286586354035,0.7577306853731541
5,0.03295428505919171,1.3152026657194242,0.7612532805884453
6,0.021621288915101528,1.524148375146784,0.7546689502647044
7,0.021484546962311352,1.5751069875986208,0.7603667300165678
8,0.018178177282958462,1.81985186288852,0.7553057108790052
9,0.02138443532554522,1.723615521525884,0.7697251858907868
10,0.015446618716448913,1.935125892522317,0.7553996928081964
11,0.018451523688377998,2.1185270511887406,0.7544001888309554
12,0.01523898851767192,2.269044164339675,0.7563755079112512
