condition,scope,source_model,fold,seed,deployable,macro_delta_f1,micro_delta_f1,modification_precision,delete_recall,correct_pair_preservation,modified_pair_count,modified_rna_count,eligible_rna_count,beneficial_edit_count,harmful_edit_count,original_tp_count,original_fp_count,original_fn_count,tp_after_count,fp_after_count,fn_after_count
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,2,17,True,-0.0024286287125712077,-0.005252208815683224,0.4166666666666667,0.05102040816326531,0.9801136363636364,12,3,24,5,7,352,98,108,345,93,115
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,2,17,True,-0.0007747964327242327,-0.0039059231219820134,0.5263157894736842,0.0970873786407767,0.9741379310344828,19,5,24,10,9,348,103,112,339,93,121
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,2,17,True,0.05903483928391764,0.0863475645942321,0.9487179487179487,0.7350993377483444,0.9826086956521739,117,20,24,111,6,345,151,115,339,40,121
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,2,29,True,-0.00043182739697099115,-0.0015024798210638846,0.5,0.030612244897959183,0.9914772727272727,6,4,24,3,3,352,98,108,349,95,111
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,2,29,True,0.0014950403884415736,0.0007758512029976128,0.6428571428571429,0.08737864077669903,0.985632183908046,14,6,24,9,5,348,103,112,343,94,117
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,2,29,True,0.061329989496611975,0.08924746251326299,0.95,0.7549668874172185,0.9826086956521739,120,21,24,114,6,345,151,115,339,37,121
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,2,41,True,-0.002492789458303867,-0.002325925195880374,0.5555555555555556,0.10204081632653061,0.9772727272727273,18,5,24,10,8,352,98,108,344,88,116
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,2,41,True,0.0006898326121157067,0.0022965256108239407,0.6666666666666666,0.13592233009708737,0.9798850574712644,21,7,24,14,7,348,103,112,341,89,119
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,2,41,True,0.06405429304903287,0.08731189023476904,0.9491525423728814,0.7417218543046358,0.9826086956521739,118,20,24,112,6,345,151,115,339,39,121
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,2,53,True,-0.0010956564974365184,0.0009271978021977434,0.6428571428571429,0.09183673469387756,0.9857954545454546,14,5,24,9,5,352,98,108,347,89,113
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,2,53,True,0.0006349559317473848,0.0022965256108239407,0.6666666666666666,0.13592233009708737,0.9798850574712644,21,7,24,14,7,348,103,112,341,89,119
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,2,53,True,0.05739933870179081,0.08446277351804776,0.9333333333333333,0.7417218543046358,0.9768115942028985,120,20,24,112,8,345,151,115,337,39,123
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,2,67,True,-0.005441708035593247,-0.003537087912087955,0.5,0.07142857142857142,0.9801136363636364,14,6,24,7,7,352,98,108,345,91,115
