condition,scope,modification_precision,delete_recall,correct_pair_preservation,macro_delta_f1,micro_delta_f1,beneficial_edit_count,harmful_edit_count,modified_pair_count,modified_rna_count,eligible_rna_count
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,pooled,0.847814355099838,0.35184770436730123,0.9871730725494655,0.01476131037602014,0.01877045942751641,1571,282,1853,557,1815
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,pooled,0.9141347424042272,0.15498320268757,0.9970434387082101,0.006780141437153418,0.010043276032588526,692,65,757,230,1815
V2A_BASE_SOURCE_AWARE_GLOBAL,pooled,0.8660990712074303,0.25061590145576707,0.9921309984080054,0.011709389296405859,0.015266044602214826,1119,173,1292,447,1815
V2A_CROSS_SOURCE_AWARE_GLOBAL,pooled,0.9107505070993914,0.10055991041433371,0.99799863543325,0.004397121538522523,0.006439413840212218,449,44,493,152,1815
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,pooled,0.8619302949061662,0.14400895856662935,0.9953149874914714,0.008540312477383927,0.009666683015838857,643,103,746,308,1815
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,pooled,0.9093264248704663,0.07861142217245241,0.998408005458267,0.004050016671256119,0.005737534726250253,351,35,386,147,1815
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,pooled,0.8443271767810027,0.1433370660694289,0.994632704116443,0.0076359749919450845,0.009277298203806756,640,118,758,293,1815
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,pooled,0.8992628992628993,0.08197088465845465,0.9981350921082557,0.0034519858995555996,0.004871919355048906,366,41,407,124,1815
