condition,fold,seed,delete_precision,delete_recall,delete_f1,tp,fp,fn
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,4,41,0.6702127659574468,0.8344370860927153,0.7433628318584071,126,62,25
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,4,53,0.6923076923076923,0.8344370860927153,0.7567567567567568,126,56,25
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,4,67,0.6842105263157895,0.8609271523178808,0.7624633431085044,130,60,21
V2A_BASE_SOURCE_AWARE_GLOBAL,0,17,0.33444816053511706,0.6711409395973155,0.44642857142857145,100,199,49
V2A_BASE_SOURCE_AWARE_GLOBAL,0,29,0.34551495016611294,0.697986577181208,0.4622222222222222,104,197,45
V2A_BASE_SOURCE_AWARE_GLOBAL,0,41,0.3215434083601286,0.6711409395973155,0.43478260869565216,100,211,49
V2A_BASE_SOURCE_AWARE_GLOBAL,0,53,0.33,0.6644295302013423,0.44097995545657015,99,201,50
V2A_BASE_SOURCE_AWARE_GLOBAL,0,67,0.32786885245901637,0.6711409395973155,0.44052863436123346,100,205,49
V2A_BASE_SOURCE_AWARE_GLOBAL,1,17,0.45930232558139533,0.6475409836065574,0.5374149659863946,79,93,43
V2A_BASE_SOURCE_AWARE_GLOBAL,1,29,0.4573170731707317,0.6147540983606558,0.5244755244755245,75,89,47
V2A_BASE_SOURCE_AWARE_GLOBAL,1,41,0.4878048780487805,0.6557377049180327,0.5594405594405595,80,84,42
V2A_BASE_SOURCE_AWARE_GLOBAL,1,53,0.46060606060606063,0.6229508196721312,0.5296167247386759,76,89,46
V2A_BASE_SOURCE_AWARE_GLOBAL,1,67,0.4659090909090909,0.6721311475409836,0.5503355704697986,82,94,40
V2A_BASE_SOURCE_AWARE_GLOBAL,2,17,0.5406427221172023,0.8125,0.6492622020431328,286,243,66
V2A_BASE_SOURCE_AWARE_GLOBAL,2,29,0.5728952772073922,0.7926136363636364,0.66507747318236,279,208,73
V2A_BASE_SOURCE_AWARE_GLOBAL,2,41,0.5516569200779727,0.8039772727272727,0.6543352601156069,283,230,69
V2A_BASE_SOURCE_AWARE_GLOBAL,2,53,0.5473887814313346,0.8039772727272727,0.6513233601841196,283,234,69
V2A_BASE_SOURCE_AWARE_GLOBAL,2,67,0.5481927710843374,0.7755681818181818,0.6423529411764706,273,225,79
V2A_BASE_SOURCE_AWARE_GLOBAL,3,17,0.5732484076433121,0.7563025210084033,0.6521739130434783,90,67,29
V2A_BASE_SOURCE_AWARE_GLOBAL,3,29,0.5897435897435898,0.773109243697479,0.6690909090909091,92,64,27
V2A_BASE_SOURCE_AWARE_GLOBAL,3,41,0.5428571428571428,0.7983193277310925,0.6462585034013606,95,80,24
V2A_BASE_SOURCE_AWARE_GLOBAL,3,53,0.5207100591715976,0.7394957983193278,0.6111111111111112,88,81,31
V2A_BASE_SOURCE_AWARE_GLOBAL,3,67,0.5269461077844312,0.7394957983193278,0.6153846153846154,88,79,31
V2A_BASE_SOURCE_AWARE_GLOBAL,4,17,0.5397727272727273,0.6291390728476821,0.581039755351682,95,81,56
V2A_BASE_SOURCE_AWARE_GLOBAL,4,29,0.521978021978022,0.6291390728476821,0.5705705705705706,95,87,56
V2A_BASE_SOURCE_AWARE_GLOBAL,4,41,0.484375,0.6158940397350994,0.5422740524781341,93,99,58
V2A_BASE_SOURCE_AWARE_GLOBAL,4,53,0.5238095238095238,0.6556291390728477,0.5823529411764706,99,90,52
V2A_BASE_SOURCE_AWARE_GLOBAL,4,67,0.5,0.6291390728476821,0.5571847507331378,95,95,56
V2A_CROSS_SOURCE_AWARE_GLOBAL,0,17,0.659217877094972,0.7919463087248322,0.7195121951219512,118,61,31
V2A_CROSS_SOURCE_AWARE_GLOBAL,0,29,0.659217877094972,0.7919463087248322,0.7195121951219512,118,61,31
V2A_CROSS_SOURCE_AWARE_GLOBAL,0,41,0.644808743169399,0.7919463087248322,0.7108433734939759,118,65,31
V2A_CROSS_SOURCE_AWARE_GLOBAL,0,53,0.6704545454545454,0.7919463087248322,0.7261538461538461,118,58,31
V2A_CROSS_SOURCE_AWARE_GLOBAL,0,67,0.6270270270270271,0.7785234899328859,0.6946107784431138,116,69,33
V2A_CROSS_SOURCE_AWARE_GLOBAL,1,17,0.66875,0.8770491803278688,0.7588652482269503,107,53,15
V2A_CROSS_SOURCE_AWARE_GLOBAL,1,29,0.6751592356687898,0.8688524590163934,0.7598566308243727,106,51,16
V2A_CROSS_SOURCE_AWARE_GLOBAL,1,41,0.6815286624203821,0.8770491803278688,0.7670250896057348,107,50,15
V2A_CROSS_SOURCE_AWARE_GLOBAL,1,53,0.6729559748427673,0.8770491803278688,0.7615658362989324,107,52,15
V2A_CROSS_SOURCE_AWARE_GLOBAL,1,67,0.6545454545454545,0.8852459016393442,0.7526132404181185,108,57,14
V2A_CROSS_SOURCE_AWARE_GLOBAL,2,17,0.7258426966292135,0.9176136363636364,0.8105395232120451,323,122,29
V2A_CROSS_SOURCE_AWARE_GLOBAL,2,29,0.7392290249433107,0.9261363636363636,0.8221941992433796,326,115,26
V2A_CROSS_SOURCE_AWARE_GLOBAL,2,41,0.7482517482517482,0.9119318181818182,0.8220230473751601,321,108,31
V2A_CROSS_SOURCE_AWARE_GLOBAL,2,53,0.7392290249433107,0.9261363636363636,0.8221941992433796,326,115,26
V2A_CROSS_SOURCE_AWARE_GLOBAL,2,67,0.7585421412300684,0.9460227272727273,0.8419721871049305,333,106,19
V2A_CROSS_SOURCE_AWARE_GLOBAL,3,17,0.6114285714285714,0.8991596638655462,0.7278911564625851,107,68,12
V2A_CROSS_SOURCE_AWARE_GLOBAL,3,29,0.5846994535519126,0.8991596638655462,0.7086092715231788,107,76,12
V2A_CROSS_SOURCE_AWARE_GLOBAL,3,41,0.6309523809523809,0.8907563025210085,0.7386759581881533,106,62,13
V2A_CROSS_SOURCE_AWARE_GLOBAL,3,53,0.601123595505618,0.8991596638655462,0.7205387205387206,107,71,12
V2A_CROSS_SOURCE_AWARE_GLOBAL,3,67,0.5944444444444444,0.8991596638655462,0.7157190635451505,107,73,12
V2A_CROSS_SOURCE_AWARE_GLOBAL,4,17,0.6989247311827957,0.8609271523178808,0.771513353115727,130,56,21
V2A_CROSS_SOURCE_AWARE_GLOBAL,4,29,0.6914893617021277,0.8609271523178808,0.7669616519174042,130,58,21
V2A_CROSS_SOURCE_AWARE_GLOBAL,4,41,0.6961325966850829,0.8344370860927153,0.7590361445783133,126,55,25
V2A_CROSS_SOURCE_AWARE_GLOBAL,4,53,0.6951871657754011,0.8609271523178808,0.7692307692307693,130,57,21
V2A_CROSS_SOURCE_AWARE_GLOBAL,4,67,0.6989247311827957,0.8609271523178808,0.771513353115727,130,56,21
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,0,17,0.31756756756756754,0.6308724832214765,0.42247191011235957,94,202,55
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,0,29,0.34965034965034963,0.6711409395973155,0.45977011494252873,100,186,49
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,0,41,0.3226837060702875,0.6778523489932886,0.43722943722943725,101,212,48
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,0,53,0.336734693877551,0.6644295302013423,0.4469525959367946,99,195,50
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,0,67,0.3402777777777778,0.6577181208053692,0.448512585812357,98,190,51
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,1,17,0.45180722891566266,0.6147540983606558,0.5208333333333334,75,91,47
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,1,29,0.46107784431137727,0.6311475409836066,0.532871972318339,77,90,45
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,1,41,0.45664739884393063,0.6475409836065574,0.535593220338983,79,94,43
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,1,53,0.4866666666666667,0.5983606557377049,0.5367647058823529,73,77,49
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,1,67,0.4936708860759494,0.639344262295082,0.5571428571428572,78,80,44
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,2,17,0.5415860735009671,0.7954545454545454,0.6444188722669736,280,237,72
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,2,29,0.561122244488978,0.7954545454545454,0.6580493537015276,280,219,72
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,2,41,0.5562248995983936,0.7869318181818182,0.6517647058823529,277,221,75
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,2,53,0.5638506876227898,0.8153409090909091,0.6666666666666666,287,222,65
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,2,67,0.5752577319587628,0.7926136363636364,0.6666666666666666,279,206,73
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,3,17,0.5321637426900585,0.7647058823529411,0.6275862068965518,91,80,28
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,3,29,0.5568181818181818,0.8235294117647058,0.6644067796610169,98,78,21
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,3,41,0.5866666666666667,0.7394957983193278,0.654275092936803,88,62,31
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,3,53,0.5421686746987951,0.7563025210084033,0.631578947368421,90,76,29
