track,baseline,summary_level,historical_seed,scope,source,operating_semantics,high_preservation_eligible,achieved_event_context_count,achieved_event_pair_event_count,achieved_event_tp_before,achieved_event_fp_before,achieved_event_fn_before,achieved_event_lost_tp,achieved_event_removed_fp,achieved_event_deleted_pair_count,achieved_event_tp_preservation,achieved_event_fp_removal,achieved_event_modification_precision,achieved_event_coverage,achieved_event_delete_precision,achieved_event_delete_recall,achieved_event_resulting_precision,achieved_event_resulting_recall,achieved_event_resulting_f1,achieved_event_original_precision,achieved_event_original_recall,achieved_event_original_f1,achieved_event_delta_f1,achieved_rna_balanced_rna_count,achieved_rna_balanced_tp_preservation,achieved_rna_balanced_tp_preservation_defined_rnas,achieved_rna_balanced_fp_removal,achieved_rna_balanced_fp_removal_defined_rnas,achieved_rna_balanced_modification_precision,achieved_rna_balanced_modification_precision_defined_rnas,achieved_rna_balanced_coverage,achieved_rna_balanced_coverage_defined_rnas,achieved_rna_balanced_delete_precision,achieved_rna_balanced_delete_precision_defined_rnas,achieved_rna_balanced_delete_recall,achieved_rna_balanced_delete_recall_defined_rnas,achieved_rna_balanced_resulting_precision,achieved_rna_balanced_resulting_precision_defined_rnas,achieved_rna_balanced_resulting_recall,achieved_rna_balanced_resulting_recall_defined_rnas,achieved_rna_balanced_resulting_f1,achieved_rna_balanced_resulting_f1_defined_rnas,achieved_rna_balanced_original_precision,achieved_rna_balanced_original_precision_defined_rnas,achieved_rna_balanced_original_recall,achieved_rna_balanced_original_recall_defined_rnas,achieved_rna_balanced_original_f1,achieved_rna_balanced_original_f1_defined_rnas,achieved_rna_balanced_delta_f1,achieved_rna_balanced_delta_f1_defined_rnas,achieved_rna_balanced_deleted_pair_count,achieved_rna_balanced_lost_tp,achieved_rna_balanced_removed_fp,rna_balanced_auprc,channel
P,R3-P2,BASELINE,,POOLED,ALL,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,1,363,5290,4397,893,631,0,0,0,1.0,0.0,,0.0,,0.0,0.8311909262759924,0.874502784407319,0.8522969567745687,0.8311909262759924,0.874502784407319,0.8522969567745687,0.0,121,1.0,121,0.0,109,,0,0.0,121,,0,0.0,109,0.8521946259518088,121,0.9112435670539332,121,0.8786352964320927,121,0.8521946259518088,121,0.9112435670539332,121,0.8786352964320927,121,0.0,121,0,0,0,0.8601122874986565,
P,R3-P2,BASELINE,,SOURCE,rnafold,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,1,121,1693,1473,220,203,0,0,0,1.0,0.0,,0.0,,0.0,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,121,1.0,120,0.0,51,,0,0.0,121,,0,0.0,51,0.9069374161618189,121,0.913867030654728,121,0.9133660920071889,120,0.9069374161618189,121,0.913867030654728,121,0.9133660920071889,120,0.0,120,0,0,0,,
P,R3-P2,BASELINE,,SOURCE,petfold,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,1,121,1704,1463,241,213,0,0,0,1.0,0.0,,0.0,,0.0,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,121,1.0,120,0.0,58,,0,0.0,121,,0,0.0,58,0.8952556023530502,121,0.9077787598919441,121,0.904322964758978,120,0.8952556023530502,121,0.9077787598919441,121,0.904322964758978,120,0.0,120,0,0,0,,
P,R3-P2,BASELINE,,SOURCE,trrosettarna2_native_ss,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,1,121,1893,1461,432,215,0,0,0,1.0,0.0,,0.0,,0.0,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,121,1.0,116,0.0,106,,0,0.0,121,,0,0.0,106,0.7905636556834099,121,0.9120849106151279,121,0.8792020264638676,116,0.7905636556834099,121,0.9120849106151279,121,0.8792020264638676,116,0.0,116,0,0,0,,
P,R3-P4,BASELINE,,POOLED,ALL,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,0,363,5290,4397,893,631,28,388,416,0.993632021833068,0.43449048152295633,0.9326923076923077,0.07863894139886578,0.9326923076923077,0.43449048152295633,0.8963890028723841,0.8689339697692919,0.8824479903049889,0.8311909262759924,0.874502784407319,0.8522969567745687,0.030151033530420146,121,0.9862186461637014,121,0.6656003251216508,109,0.9460955710955711,104,0.0797137176094303,121,0.9460955710955711,104,0.6656003251216508,109,0.9140471690833364,121,0.9046993977203128,121,0.9113460343838654,120,0.8521946259518088,121,0.9112435670539332,121,0.8786352964320927,121,0.027687627722884182,120,416,28,388,0.9153259086707725,
P,R3-P4,BASELINE,,SOURCE,rnafold,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,1,121,1693,1473,220,203,0,0,0,1.0,0.0,,0.0,,0.0,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,121,1.0,120,0.0,51,,0,0.0,121,,0,0.0,51,0.9069374161618189,121,0.913867030654728,121,0.9133660920071889,120,0.9069374161618189,121,0.913867030654728,121,0.9133660920071889,120,0.0,120,0,0,0,,
P,R3-P4,BASELINE,,SOURCE,petfold,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,1,121,1704,1463,241,213,0,17,17,1.0,0.07053941908713693,1.0,0.009976525821596244,1.0,0.07053941908713693,0.8672199170124482,0.8729116945107399,0.8700564971751413,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0043760238023602405,121,1.0,120,0.12083333333333333,58,1.0,12,0.007287868124860596,121,1.0,12,0.12083333333333333,58,0.9021392975382934,121,0.9077787598919441,121,0.9080360062011259,120,0.8952556023530502,121,0.9077787598919441,121,0.904322964758978,120,0.0037130414421477718,120,17,0,17,,
P,R3-P4,BASELINE,,SOURCE,trrosettarna2_native_ss,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,0,121,1893,1461,432,215,28,371,399,0.9808350444900753,0.8587962962962963,0.9298245614035088,0.21077654516640254,0.9298245614035088,0.8587962962962963,0.9591700133868809,0.8550119331742243,0.9041009463722398,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.08538421899762505,121,0.9793137657361796,116,0.8669643914926934,106,0.9460955710955711,104,0.19734957613439477,121,0.9460955710955711,104,0.8669643914926934,106,0.9517131719393427,117,0.8924524026142665,121,0.94582597520578,115,0.7905636556834099,121,0.9120849106151279,121,0.8792020264638676,116,0.06670818232821654,115,399,28,371,,
P,R3-P1,SEED,17,POOLED,ALL,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,0,363,5290,4397,893,631,50,368,418,0.9886286104161929,0.41209406494960804,0.8803827751196173,0.07901701323251417,0.8803827751196173,0.41209406494960804,0.8922413793103449,0.8645584725536993,0.8781818181818183,0.8311909262759924,0.874502784407319,0.8522969567745687,0.02588486140724955,121,0.9937232146810342,121,0.581661703570464,109,0.9361066741814664,95,0.06965438260838189,121,0.9361066741814664,95,0.581661703570464,109,0.9064330566855476,121,0.9061913516051212,121,0.901684609720501,121,0.8521946259518088,121,0.9112435670539332,121,0.8786352964320927,121,0.023049313288407938,121,418,50,368,,
P,R3-P1,SEED,17,SOURCE,rnafold,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,1,121,1693,1473,220,203,14,14,28,0.9904955872369314,0.06363636363636363,0.5,0.016538688718251624,0.5,0.06363636363636363,0.8762762762762762,0.8705250596658711,0.8733912002394492,0.8700531600708801,0.8788782816229117,0.8744434550311665,-0.001052254791717333,121,0.99589503588569,120,0.017751563136546397,51,0.3541666666666667,9,0.004833808340703922,121,0.3541666666666667,9,0.017751563136546397,51,0.9073774455966617,121,0.9110544711069561,121,0.9121775127614555,120,0.9069374161618189,121,0.913867030654728,121,0.9133660920071889,120,-0.0011885792457334173,120,28,14,14,,
