epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.32988775787646313,0.46035594588832984,0.8207776622573721
1,0.09448909747234562,0.6344961808824868,0.8060939476454339
2,0.05340698217286875,0.816489111136716,0.8004909569931296
3,0.0392612907042106,1.004261251864465,0.7883113888574015
4,0.02922503065579293,1.151767423009413,0.8014361017893898
5,0.025175650904216525,1.2857805079748634,0.7993807952085099
6,0.02358517083584478,1.3757303415772866,0.7990381443856068
7,0.021808554495831852,1.446240453519567,0.7971895438572212
8,0.018752765829078526,1.6543287430791163,0.8009469852884219
9,0.01628488670185968,1.772554923345195,0.7986710631075136
10,0.016296909100604814,1.799887668739759,0.8015810599334725
11,0.01606625991058536,1.8511711765341763,0.7963632252827689
12,0.013355710510728194,1.8948956361591207,0.800758117047792
