epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.34048124869294316,0.40788263273541897,0.7969293162282547
1,0.13351310401634808,0.6795325189579097,0.7534165812243879
2,0.0781901617577723,0.9199045919457631,0.7125564849439239
3,0.04606046396951587,1.0686563078775995,0.7477648326817897
4,0.03449442519234466,1.208556631179398,0.7355173265187118
5,0.02639152743968189,1.3744135105175137,0.7366536976155381
6,0.026273483174133236,1.668292700501198,0.7169546481806176
7,0.033334923162019914,1.56042257736883,0.7320286147973627
8,0.020413485324659926,1.6895430175935648,0.7284438435841526
9,0.018921043216191553,1.669649783947003,0.7419378544701546
10,0.021732464641068486,1.7708967419011472,0.7326224425413641
11,0.017895165241559992,1.8935086513464812,0.7239048834992488
12,0.015844230278743824,1.9952286464991003,0.7245763093081147
