epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.3182418243613274,0.3786562420313768,0.8101700149445014
1,0.11491003158097826,0.5454900972031052,0.7822861189290952
2,0.06372679240204474,0.7906789723224195,0.7664376737526615
3,0.038682672728521106,0.9230146523019146,0.7617704874403407
4,0.029210991808517557,1.1858473984779168,0.7404469582973277
5,0.025348342059830442,1.2405415317693673,0.7410810978985702
6,0.019732800034615958,1.34055917281416,0.7317424372395193
7,0.020006646566836078,1.5123602009969168,0.7316935849755352
8,0.02254472920936031,1.6014249708819732,0.7297443015541851
9,0.01573482812993361,1.6818008633708201,0.7316211417067325
10,0.014805814925474116,1.815904727317937,0.7297353148701734
11,0.02359603561712078,1.7141232841386345,0.741096225202409
12,0.013309278406336904,1.889228422977892,0.7436200213853216
