epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.2989956033480359,0.3717688029199763,0.8554428480137244
1,0.09083336548379271,0.563503543951515,0.8374839953014293
2,0.058116560204799,0.759147389746729,0.8300911034643964
3,0.04170339256653886,0.8373104881332573,0.8361556405230057
4,0.036419254695230406,0.9089630967263165,0.8327669616327293
5,0.029847517720077793,0.9812673418219028,0.8372885517330697
6,0.02782150567857757,1.155467688855785,0.8365914207350078
7,0.02211138059026788,1.2868168102623323,0.823754429855979
8,0.021499978231015748,1.3108499628707293,0.8303383719463227
9,0.02248726648406356,1.4713426212943812,0.8304821193274539
10,0.016226122699450122,1.5718593418706837,0.8321123822809356
11,0.017104973999500166,1.6253059231370588,0.8227847512534074
12,0.015503147261180444,1.6720507732679468,0.825964329246233
