epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.3101943361203643,0.37672762031286827,0.8083847162631645
1,0.11022858398647466,0.5714485325205961,0.7844417328316055
2,0.06506141246083755,0.6982205460804397,0.7579112717601197
3,0.03945737021850609,0.8628537786701874,0.7765721632016056
4,0.031699119482323526,0.9808342106245822,0.7690635672266788
5,0.023475538465606554,1.08729678631108,0.7729018060862979
6,0.022721865486635365,1.2996932683871307,0.7652366657560223
7,0.02382768256795963,1.3557856050188561,0.7578948944957582
8,0.023213240640716427,1.4438954474308456,0.7532708882511667
9,0.01611809706799551,1.5428363842321242,0.7489871508321689
10,0.016858956535974884,1.595385074497398,0.749644598723453
11,0.022587267221752125,1.6031679861424963,0.7530592360791485
12,0.019124169169798973,1.5942278562930035,0.7494555368520439
