track,baseline,historical_seed,variant,stratum,source,fold,channel,aggregation,n_events,positive_count,positive_prevalence,auprc,auroc
P,R3-P3,53,,FOLD,ALL,0,ALL,EVENT_POOLED,1082,149,0.1377079482439926,0.4661697255869204,0.6969147658200077
P,R3-P3,53,,FOLD,ALL,1,ALL,EVENT_POOLED,853,122,0.14302461899179367,0.14302461899179367,0.5
P,R3-P3,53,,FOLD,ALL,2,ALL,EVENT_POOLED,1397,352,0.25196850393700787,0.5106577411858408,0.6846142344497608
P,R3-P3,53,,FOLD,ALL,3,ALL,EVENT_POOLED,953,119,0.1248688352570829,0.6460717133379821,0.8019214880196683
P,R3-P3,53,,FOLD,ALL,4,ALL,EVENT_POOLED,1005,151,0.15024875621890546,0.43075567146437954,0.6682886920917537
P,R3-P3,67,,POOLED,ALL,ALL,ALL,EVENT_POOLED,5290,893,0.16880907372400755,0.4468116407993249,0.6756721790103759
P,R3-P3,67,,SOURCE,rnafold,ALL,ALL,EVENT_POOLED,1693,220,0.1299468399291199,0.1524492562959781,0.5206906128494723
P,R3-P3,67,,SOURCE,petfold,ALL,ALL,EVENT_POOLED,1704,241,0.1414319248826291,0.2166569106334792,0.5522330912154018
P,R3-P3,67,,SOURCE,trrosettarna2_native_ss,ALL,ALL,EVENT_POOLED,1893,432,0.22820919175911253,0.71885879755333,0.823520324739524
P,R3-P3,67,,FOLD,ALL,0,ALL,EVENT_POOLED,1082,149,0.1377079482439926,0.4597986796102902,0.7048382571915665
P,R3-P3,67,,FOLD,ALL,1,ALL,EVENT_POOLED,853,122,0.14302461899179367,0.14302461899179367,0.5
P,R3-P3,67,,FOLD,ALL,2,ALL,EVENT_POOLED,1397,352,0.25196850393700787,0.5124057401327968,0.6869766746411483
P,R3-P3,67,,FOLD,ALL,3,ALL,EVENT_POOLED,953,119,0.1248688352570829,0.6396518733411518,0.7941176470588235
P,R3-P3,67,,FOLD,ALL,4,ALL,EVENT_POOLED,1005,151,0.15024875621890546,0.43162334025238047,0.6655629139072847
P,R3-P4,,,POOLED,ALL,ALL,ALL,EVENT_POOLED,5290,893,0.16880907372400755,0.7772828897729951,0.9136082552468203
P,R3-P4,,,SOURCE,rnafold,ALL,ALL,EVENT_POOLED,1693,220,0.1299468399291199,0.5094270582944151,0.8582870456088378
P,R3-P4,,,SOURCE,petfold,ALL,ALL,EVENT_POOLED,1704,241,0.1414319248826291,0.6177882454899021,0.8759313409892139
P,R3-P4,,,SOURCE,trrosettarna2_native_ss,ALL,ALL,EVENT_POOLED,1893,432,0.22820919175911253,0.9495120063346209,0.9736885884858164
P,R3-P4,,,FOLD,ALL,0,ALL,EVENT_POOLED,1082,149,0.1377079482439926,0.6877105675166918,0.8870857521022609
P,R3-P4,,,FOLD,ALL,1,ALL,EVENT_POOLED,853,122,0.14302461899179367,0.7910891363888518,0.9287636518579983
P,R3-P4,,,FOLD,ALL,2,ALL,EVENT_POOLED,1397,352,0.25196850393700787,0.8168993717648383,0.917379839060461
P,R3-P4,,,FOLD,ALL,3,ALL,EVENT_POOLED,953,119,0.1248688352570829,0.9105543152519289,0.9820446164077141
P,R3-P4,,,FOLD,ALL,4,ALL,EVENT_POOLED,1005,151,0.15024875621890546,0.6577494333154782,0.8201723095057152
E,R3-E1,,,POOLED,ALL,ALL,ALL,EVENT_POOLED,310838,50215,0.16154717248212896,0.26136338283564553,0.5595240465996216
E,R3-E1,,,SOURCE,rnafold,ALL,ALL,EVENT_POOLED,99424,12257,0.12328009333762471,0.22885556712677912,0.5602104919637758
E,R3-E1,,,SOURCE,petfold,ALL,ALL,EVENT_POOLED,100065,13485,0.13476240443711587,0.2399255055960011,0.5607712272895811
E,R3-E1,,,SOURCE,trrosettarna2_native_ss,ALL,ALL,EVENT_POOLED,111349,24473,0.21978643723787372,0.3110605528014731,0.5584930331385609
E,R3-E1,,,CHANNEL,ALL,ALL,POSITIVE_PAIR_EVIDENCE,EVENT_POOLED,152138,23425,0.1539720516899131,0.20298208054185707,0.5289647812166489
E,R3-E1,,,CHANNEL,ALL,ALL,UNPAIRED_NUCLEOTIDE_EVIDENCE,EVENT_POOLED,158700,26790,0.16880907372400755,0.31218097631159103,0.5862448674878686
E,R3-E1,,,FOLD,ALL,0,ALL,EVENT_POOLED,64261,8800,0.1369415353013492,0.2544351762910064,0.5680681818181819
E,R3-E1,,,FOLD,ALL,1,ALL,EVENT_POOLED,50808,7136,0.14045032278381359,0.2565666188651482,0.5675448430493274
E,R3-E1,,,FOLD,ALL,2,ALL,EVENT_POOLED,79779,18701,0.23441005778463003,0.3083448973996751,0.5482861879043901
E,R3-E1,,,FOLD,ALL,3,ALL,EVENT_POOLED,56130,6613,0.11781578478531979,0.21893413275639612,0.5573113564191744
E,R3-E1,,,FOLD,ALL,4,ALL,EVENT_POOLED,59860,8965,0.14976612094888073,0.2685048623400689,0.5698271054099275
E,R3-E2,,,POOLED,ALL,ALL,ALL,EVENT_POOLED,310838,50215,0.16154717248212896,0.6205497633628437,0.8138247354633633
E,R3-E2,,,SOURCE,rnafold,ALL,ALL,EVENT_POOLED,99424,12257,0.12328009333762471,0.36663166308850403,0.6580648726263749
E,R3-E2,,,SOURCE,petfold,ALL,ALL,EVENT_POOLED,100065,13485,0.13476240443711587,0.45776389938921036,0.7081705411238225
E,R3-E2,,,SOURCE,trrosettarna2_native_ss,ALL,ALL,EVENT_POOLED,111349,24473,0.21978643723787372,0.8202114127907975,0.9446870825716448
E,R3-E2,,,CHANNEL,ALL,ALL,POSITIVE_PAIR_EVIDENCE,EVENT_POOLED,152138,23425,0.1539720516899131,0.6051073123694993,0.8069208815578969
E,R3-E2,,,CHANNEL,ALL,ALL,UNPAIRED_NUCLEOTIDE_EVIDENCE,EVENT_POOLED,158700,26790,0.16880907372400755,0.6341026304060079,0.8198173735307498
E,R3-E2,,,FOLD,ALL,0,ALL,EVENT_POOLED,64261,8800,0.1369415353013492,0.6433731053318196,0.8293729664252194
E,R3-E2,,,FOLD,ALL,1,ALL,EVENT_POOLED,50808,7136,0.14045032278381359,0.5501999778143593,0.7868658418401504
E,R3-E2,,,FOLD,ALL,2,ALL,EVENT_POOLED,79779,18701,0.23441005778463003,0.6555290390560118,0.8083081628541161
E,R3-E2,,,FOLD,ALL,3,ALL,EVENT_POOLED,56130,6613,0.11781578478531979,0.7153710556385502,0.8720923449113629
E,R3-E2,,,FOLD,ALL,4,ALL,EVENT_POOLED,59860,8965,0.14976612094888073,0.5436806992724145,0.7849077584850802
