condition,evidence_channel,density_percent,evidence_seed,source_model,scope,rna_count,scope_domain,scope_universe_pair_count,direct_evidence_item_count,direct_compliant_before_count,direct_compliant_after_count,sum_tp,sum_fp,sum_fn,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,macro_delta_f1,micro_delta_f1,beneficial_edits,harmful_edits,modified_pair_count,correct_pair_preservation
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,107,rnafold,NON_EVIDENCED_EFFECT,121,pair,1896,0,0,0,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,107,trrosettarna2_native_ss,DIRECT_EVIDENCE_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,107,trrosettarna2_native_ss,LOCAL_CONFLICT_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,107,trrosettarna2_native_ss,NON_EVIDENCED_EFFECT,121,pair,2108,0,0,0,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,109,petfold,DIRECT_EVIDENCE_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,109,petfold,LOCAL_CONFLICT_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,109,petfold,NON_EVIDENCED_EFFECT,121,pair,1917,0,0,0,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,109,rnafold,DIRECT_EVIDENCE_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,109,rnafold,LOCAL_CONFLICT_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,109,rnafold,NON_EVIDENCED_EFFECT,121,pair,1896,0,0,0,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,109,trrosettarna2_native_ss,DIRECT_EVIDENCE_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,109,trrosettarna2_native_ss,LOCAL_CONFLICT_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,109,trrosettarna2_native_ss,NON_EVIDENCED_EFFECT,121,pair,2108,0,0,0,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,113,petfold,DIRECT_EVIDENCE_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,113,petfold,LOCAL_CONFLICT_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,113,petfold,NON_EVIDENCED_EFFECT,121,pair,1917,0,0,0,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,113,rnafold,DIRECT_EVIDENCE_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,113,rnafold,LOCAL_CONFLICT_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,113,rnafold,NON_EVIDENCED_EFFECT,121,pair,1896,0,0,0,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,113,trrosettarna2_native_ss,DIRECT_EVIDENCE_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,113,trrosettarna2_native_ss,LOCAL_CONFLICT_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,113,trrosettarna2_native_ss,NON_EVIDENCED_EFFECT,121,pair,2108,0,0,0,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,101,petfold,DIRECT_EVIDENCE_EFFECT,121,pair,121,121,110,110,110,0,11,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,101,petfold,LOCAL_CONFLICT_EFFECT,121,pair,9,0,0,0,0,9,0,0.9421487603305785,0.9421487603305785,0.9421487603305785,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,101,petfold,NON_EVIDENCED_EFFECT,121,pair,1787,0,0,0,1353,232,202,0.8913111820878411,0.9076448790274508,0.8941138338516147,0.853627760252366,0.8700964630225081,0.8617834394904459,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,101,rnafold,DIRECT_EVIDENCE_EFFECT,121,pair,121,121,113,113,113,0,8,0.9338842975206612,0.9338842975206612,0.9338842975206612,1.0,0.9338842975206612,0.9658119658119658,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,101,rnafold,LOCAL_CONFLICT_EFFECT,121,pair,4,0,0,0,0,4,0,0.9834710743801653,0.9834710743801653,0.9834710743801653,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,101,rnafold,NON_EVIDENCED_EFFECT,121,pair,1771,0,0,0,1360,216,195,0.90131480501018,0.9126912234849524,0.9018777765990463,0.8629441624365483,0.8745980707395499,0.868732034493772,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,101,trrosettarna2_native_ss,DIRECT_EVIDENCE_EFFECT,121,pair,121,121,111,111,111,0,10,0.9173553719008265,0.9173553719008265,0.9173553719008265,1.0,0.9173553719008265,0.9568965517241379,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,101,trrosettarna2_native_ss,LOCAL_CONFLICT_EFFECT,121,pair,18,0,0,0,0,18,0,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,101,trrosettarna2_native_ss,NON_EVIDENCED_EFFECT,121,pair,1969,0,0,0,1350,414,205,0.7786047228770009,0.9108469332875563,0.8346702236622415,0.7653061224489796,0.8681672025723473,0.8134980415787888,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,103,petfold,DIRECT_EVIDENCE_EFFECT,121,pair,121,121,112,112,112,0,9,0.9256198347107438,0.9256198347107438,0.9256198347107438,1.0,0.9256198347107438,0.9613733905579399,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,103,petfold,LOCAL_CONFLICT_EFFECT,121,pair,7,0,0,0,0,7,0,0.9504132231404959,0.9504132231404959,0.9504132231404959,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,103,petfold,NON_EVIDENCED_EFFECT,121,pair,1789,0,0,0,1351,234,204,0.8908566216765106,0.9044304982826449,0.8918060853838556,0.852365930599369,0.8688102893890676,0.8605095541401274,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,103,rnafold,DIRECT_EVIDENCE_EFFECT,121,pair,121,121,112,112,112,0,9,0.9256198347107438,0.9256198347107438,0.9256198347107438,1.0,0.9256198347107438,0.9613733905579399,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,103,rnafold,LOCAL_CONFLICT_EFFECT,121,pair,7,0,0,0,0,7,0,0.9504132231404959,0.9504132231404959,0.9504132231404959,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,103,rnafold,NON_EVIDENCED_EFFECT,121,pair,1768,0,0,0,1361,213,194,0.903480788477207,0.9110955251074918,0.9015394551436562,0.8646759847522236,0.8752411575562701,0.869926494087568,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,103,trrosettarna2_native_ss,DIRECT_EVIDENCE_EFFECT,121,pair,121,121,110,110,110,0,11,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,103,trrosettarna2_native_ss,LOCAL_CONFLICT_EFFECT,121,pair,18,0,0,0,0,18,0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,103,trrosettarna2_native_ss,NON_EVIDENCED_EFFECT,121,pair,1969,0,0,0,1351,414,204,0.7812600829201379,0.9133313646700443,0.8371391250325969,0.7654390934844193,0.8688102893890676,0.813855421686747,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,107,petfold,DIRECT_EVIDENCE_EFFECT,121,pair,121,121,113,113,113,0,8,0.9338842975206612,0.9338842975206612,0.9338842975206612,1.0,0.9338842975206612,0.9658119658119658,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,107,petfold,LOCAL_CONFLICT_EFFECT,121,pair,4,0,0,0,0,4,0,0.9752066115702479,0.9752066115702479,0.9752066115702479,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,107,petfold,NON_EVIDENCED_EFFECT,121,pair,1792,0,0,0,1350,237,205,0.8904042597109907,0.9066908370532476,0.8933580133601107,0.8506616257088847,0.8681672025723473,0.8593252705283259,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,107,rnafold,DIRECT_EVIDENCE_EFFECT,121,pair,121,121,113,113,113,0,8,0.9338842975206612,0.9338842975206612,0.9338842975206612,1.0,0.9338842975206612,0.9658119658119658,0.0,0.0,0,0,0,1.0
