condition,evidence_channel,density_percent,evidence_seed,source_model,scope,rna_count,scope_domain,scope_universe_pair_count,direct_evidence_item_count,direct_compliant_before_count,direct_compliant_after_count,sum_tp,sum_fp,sum_fn,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,macro_delta_f1,micro_delta_f1,beneficial_edits,harmful_edits,modified_pair_count,correct_pair_preservation
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,107,rnafold,LOCAL_CONFLICT_EFFECT,121,pair,4,0,0,0,0,4,0,0.9752066115702479,0.9752066115702479,0.9752066115702479,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,107,rnafold,NON_EVIDENCED_EFFECT,121,pair,1771,0,0,0,1360,216,195,0.9029777322923327,0.9133558638780945,0.9030849225059597,0.8629441624365483,0.8745980707395499,0.868732034493772,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,107,trrosettarna2_native_ss,DIRECT_EVIDENCE_EFFECT,121,pair,121,121,113,113,113,0,8,0.9338842975206612,0.9338842975206612,0.9338842975206612,1.0,0.9338842975206612,0.9658119658119658,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,107,trrosettarna2_native_ss,LOCAL_CONFLICT_EFFECT,121,pair,15,0,0,0,0,15,0,0.9338842975206612,0.9338842975206612,0.9338842975206612,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,107,trrosettarna2_native_ss,NON_EVIDENCED_EFFECT,121,pair,1972,0,0,0,1348,417,207,0.7793583035374194,0.9118568860694659,0.8354897345112541,0.7637393767705383,0.8668810289389067,0.8120481927710843,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,109,petfold,DIRECT_EVIDENCE_EFFECT,121,pair,121,121,112,112,112,0,9,0.9256198347107438,0.9256198347107438,0.9256198347107438,1.0,0.9256198347107438,0.9613733905579399,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,109,petfold,LOCAL_CONFLICT_EFFECT,121,pair,8,0,0,0,0,8,0,0.9504132231404959,0.9504132231404959,0.9504132231404959,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,109,petfold,NON_EVIDENCED_EFFECT,121,pair,1788,0,0,0,1351,233,204,0.891011603641957,0.9050733306679165,0.8923649943497443,0.8529040404040404,0.8688102893890676,0.8607836890729532,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,109,rnafold,DIRECT_EVIDENCE_EFFECT,121,pair,121,121,112,112,112,0,9,0.9256198347107438,0.9256198347107438,0.9256198347107438,1.0,0.9256198347107438,0.9613733905579399,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,109,rnafold,LOCAL_CONFLICT_EFFECT,121,pair,8,0,0,0,0,8,0,0.9504132231404959,0.9504132231404959,0.9504132231404959,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,109,rnafold,NON_EVIDENCED_EFFECT,121,pair,1767,0,0,0,1361,212,194,0.9036642197049173,0.9117383574927636,0.9021068803430279,0.8652256834075016,0.8752411575562701,0.8702046035805626,0.0,0.0,0,0,0,1.0
