condition,evidence_channel,density_percent,evidence_seed,source_model,actual_evidence_item_count,evidence_compliant_before_count,evidence_compliant_after_count,evidence_compliance_before,evidence_compliance_after,direct_recovery_count,directly_inserted_pair_count,local_conflicting_pairs_before,local_conflicting_pairs_removed,local_conflict_correction_rate
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,113,trrosettarna2_native_ss,130,117,117,0.9,0.9,0,0,18,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,101,petfold,180,165,165,0.9166666666666666,0.9166666666666666,0,0,15,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,101,rnafold,180,165,165,0.9166666666666666,0.9166666666666666,0,0,14,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,101,trrosettarna2_native_ss,180,161,161,0.8944444444444445,0.8944444444444445,0,0,29,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,103,petfold,180,160,160,0.8888888888888888,0.8888888888888888,0,0,14,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,103,rnafold,180,162,162,0.9,0.9,0,0,13,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,103,trrosettarna2_native_ss,180,157,157,0.8722222222222222,0.8722222222222222,0,0,29,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,107,petfold,180,158,158,0.8777777777777778,0.8777777777777778,0,0,17,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,107,rnafold,180,159,159,0.8833333333333333,0.8833333333333333,0,0,15,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,107,trrosettarna2_native_ss,180,157,157,0.8722222222222222,0.8722222222222222,0,0,29,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,109,petfold,180,153,153,0.85,0.85,0,0,20,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,109,rnafold,180,154,154,0.8555555555555555,0.8555555555555555,0,0,19,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,109,trrosettarna2_native_ss,180,156,156,0.8666666666666667,0.8666666666666667,0,0,31,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,113,petfold,180,161,161,0.8944444444444445,0.8944444444444445,0,0,16,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,113,rnafold,180,161,161,0.8944444444444445,0.8944444444444445,0,0,15,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,113,trrosettarna2_native_ss,180,161,161,0.8944444444444445,0.8944444444444445,0,0,30,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,101,petfold,338,295,295,0.8727810650887574,0.8727810650887574,0,0,38,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,101,rnafold,338,298,298,0.8816568047337278,0.8816568047337278,0,0,34,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,101,trrosettarna2_native_ss,338,299,299,0.8846153846153846,0.8846153846153846,0,0,45,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,103,petfold,338,295,295,0.8727810650887574,0.8727810650887574,0,0,31,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,103,rnafold,338,296,296,0.8757396449704142,0.8757396449704142,0,0,33,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,103,trrosettarna2_native_ss,338,294,294,0.8698224852071006,0.8698224852071006,0,0,60,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,107,petfold,338,290,290,0.8579881656804734,0.8579881656804734,0,0,50,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,107,rnafold,338,293,293,0.8668639053254438,0.8668639053254438,0,0,49,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,107,trrosettarna2_native_ss,338,293,293,0.8668639053254438,0.8668639053254438,0,0,55,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,109,petfold,338,296,296,0.8757396449704142,0.8757396449704142,0,0,39,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,109,rnafold,338,296,296,0.8757396449704142,0.8757396449704142,0,0,39,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,109,trrosettarna2_native_ss,338,299,299,0.8846153846153846,0.8846153846153846,0,0,57,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,113,petfold,338,292,292,0.863905325443787,0.863905325443787,0,0,38,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,113,rnafold,338,294,294,0.8698224852071006,0.8698224852071006,0,0,34,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,113,trrosettarna2_native_ss,338,294,294,0.8698224852071006,0.8698224852071006,0,0,57,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,101,petfold,875,759,759,0.8674285714285714,0.8674285714285714,0,0,95,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,101,rnafold,875,762,762,0.8708571428571429,0.8708571428571429,0,0,94,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,101,trrosettarna2_native_ss,875,766,766,0.8754285714285714,0.8754285714285714,0,0,121,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,103,petfold,875,760,760,0.8685714285714285,0.8685714285714285,0,0,93,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,103,rnafold,875,762,762,0.8708571428571429,0.8708571428571429,0,0,93,0,0.0
