condition,evidence_channel,density_percent,source_model,scope,scope_domain,scope_universe_pair_count_mean,scope_universe_pair_count_std,scope_universe_pair_count_min,scope_universe_pair_count_max,direct_evidence_item_count_mean,direct_evidence_item_count_std,direct_evidence_item_count_min,direct_evidence_item_count_max,direct_compliant_before_count_mean,direct_compliant_before_count_std,direct_compliant_before_count_min,direct_compliant_before_count_max,direct_compliant_after_count_mean,direct_compliant_after_count_std,direct_compliant_after_count_min,direct_compliant_after_count_max,macro_precision_mean,macro_precision_std,macro_precision_min,macro_precision_max,macro_recall_mean,macro_recall_std,macro_recall_min,macro_recall_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,micro_precision_mean,micro_precision_std,micro_precision_min,micro_precision_max,micro_recall_mean,micro_recall_std,micro_recall_min,micro_recall_max,micro_f1_mean,micro_f1_std,micro_f1_min,micro_f1_max,macro_delta_f1_mean,macro_delta_f1_std,macro_delta_f1_min,macro_delta_f1_max,micro_delta_f1_mean,micro_delta_f1_std,micro_delta_f1_min,micro_delta_f1_max,beneficial_edits_mean,beneficial_edits_std,beneficial_edits_min,beneficial_edits_max,harmful_edits_mean,harmful_edits_std,harmful_edits_min,harmful_edits_max,modified_pair_count_mean,modified_pair_count_std,modified_pair_count_min,modified_pair_count_max,correct_pair_preservation_mean,correct_pair_preservation_std,correct_pair_preservation_min,correct_pair_preservation_max
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,10,rnafold,DIRECT_EVIDENCE_EFFECT,pair,180.0,0.0,180.0,180.0,180.0,0.0,180.0,180.0,160.2,3.655133376499413,154.0,165.0,180.0,0.0,180.0,180.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.07161091433818707,0.01198092176633366,0.05693296602387512,0.09208972845336481,0.05832390578447202,0.011434652314607814,0.04347826086956519,0.07784431137724546,19.8,3.655133376499413,15.0,26.0,0.0,0.0,0.0,0.0,19.8,3.655133376499413,15.0,26.0,1.0,0.0,1.0,1.0
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,10,rnafold,LOCAL_CONFLICT_EFFECT,pair,15.2,2.039607805437114,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.06115702479338843,0.008428131427426091,0.049586776859504134,0.0743801652892562,1.0,0.0,1.0,1.0,15.2,2.039607805437114,13.0,19.0,0.0,0.0,0.0,0.0,15.2,2.039607805437114,13.0,19.0,1.0,0.0,1.0,1.0
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,10,rnafold,NON_EVIDENCED_EFFECT,pair,1700.8,2.039607805437114,1697.0,1703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9019605740863655,0.0013888883451785765,0.9002444149675874,0.904450247824899,0.9130090903713818,0.0018766861914632869,0.9110308135379207,0.9162881728557412,0.902418260681981,0.001555683035319868,0.9010906906349005,0.9053908219504532,0.8650487539031626,0.0014583271613812883,0.8636363636363636,0.8677631578947368,0.8775401069518717,0.0024432709735958584,0.8743315508021391,0.8816844919786097,0.871249258533307,0.0019126845246388187,0.8691029900332226,0.8746684350132626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,10,trrosettarna2_native_ss,DIRECT_EVIDENCE_EFFECT,pair,180.0,0.0,180.0,180.0,180.0,0.0,180.0,180.0,158.4,2.1540659228538015,156.0,161.0,180.0,0.0,180.0,180.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.08228256591892955,0.0066818519713446635,0.07162534435261708,0.0915322051685688,0.06387280757913474,0.006758438931544768,0.055718475073313734,0.0714285714285714,21.6,2.1540659228538015,19.0,24.0,0.0,0.0,0.0,0.0,21.6,2.1540659228538015,19.0,24.0,1.0,0.0,1.0,1.0
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,10,trrosettarna2_native_ss,LOCAL_CONFLICT_EFFECT,pair,29.6,0.8,29.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.08925619834710743,0.00618455766408916,0.08264462809917356,0.09917355371900827,1.0,0.0,1.0,1.0,29.6,0.8,29.0,31.0,0.0,0.0,0.0,0.0,29.6,0.8,29.0,31.0,1.0,0.0,1.0,1.0
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,10,trrosettarna2_native_ss,NON_EVIDENCED_EFFECT,pair,1898.4,0.8,1897.0,1899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7775109963193315,0.0008378641943515462,0.7765999623538032,0.7787471213421125,0.9118870814332094,0.0005975198144037534,0.9110936144123054,0.912796752263793,0.8345392836537051,0.0007644252293150305,0.8336799717911654,0.8357790589842451,0.7639879811115705,0.0005215149040844088,0.7633587786259542,0.764947245017585,0.8707219251336898,0.001439883638271251,0.8689839572192514,0.8723262032085561,0.8138701949513374,0.000872763247996061,0.8127539856205064,0.8151155527795128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,20,petfold,DIRECT_EVIDENCE_EFFECT,pair,338.0,0.0,338.0,338.0,338.0,0.0,338.0,338.0,293.6,2.244994432064365,290.0,296.0,338.0,0.0,338.0,338.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.07475078722731154,0.006177230689635722,0.06792682934483717,0.08452831671110718,0.07031120605603816,0.0038119319309929288,0.06624605678233442,0.07643312101910826,44.4,2.244994432064365,42.0,48.0,0.0,0.0,0.0,0.0,44.4,2.244994432064365,42.0,48.0,1.0,0.0,1.0,1.0
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,20,petfold,LOCAL_CONFLICT_EFFECT,pair,39.2,6.11228271597445,31.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.10247933884297522,0.016194973506004483,0.09090909090909091,0.1322314049586777,1.0,0.0,1.0,1.0,39.2,6.11228271597445,31.0,50.0,0.0,0.0,0.0,0.0,39.2,6.11228271597445,31.0,50.0,1.0,0.0,1.0,1.0
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,20,petfold,NON_EVIDENCED_EFFECT,pair,1539.8,6.11228271597445,1529.0,1548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8881603413745986,0.00219261855200696,0.8860153185138084,0.8915699107118342,0.9079105874001353,0.0018489476557909067,0.9057248389103031,0.9107614041923716,0.8927629036821416,0.0017729827609957985,0.8911325868724914,0.8954915709547094,0.8528424046201287,0.003989171651240517,0.8476052249637155,0.8599706744868035,0.8739910313901346,0.0016778732676116339,0.8721973094170403,0.8766816143497758,0.8632846668040643,0.002720842310045967,0.8600883652430045,0.8682457438934122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,20,rnafold,DIRECT_EVIDENCE_EFFECT,pair,338.0,0.0,338.0,338.0,338.0,0.0,338.0,338.0,295.4,1.7435595774162693,293.0,298.0,338.0,0.0,338.0,338.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.07127852028397022,0.006167943833350713,0.0641383546303844,0.08134059534156764,0.06726416418299094,0.002937444140924497,0.06289308176100628,0.07131537242472263,42.6,1.7435595774162693,40.0,45.0,0.0,0.0,0.0,0.0,42.6,1.7435595774162693,40.0,45.0,1.0,0.0,1.0,1.0
