dataset,source_model,n_rnas,total_predicted_pairs,keep_count,delete_count,keep_fraction,delete_fraction,delete_to_keep_ratio,rnas_with_delete,fraction_rnas_with_delete
Legacy121_v1,rnafold,121,1693,1473,220,0.8700531600708801,0.1299468399291199,0.1493550577053632,51,0.4214876033057851
Legacy121_v1,petfold,121,1704,1463,241,0.8585680751173709,0.1414319248826291,0.16473000683527,58,0.4793388429752066
Legacy121_v1,trrosettarna2_native_ss,121,1893,1461,432,0.7717908082408875,0.22820919175911253,0.29568788501026694,106,0.8760330578512396
Legacy121_v1,ALL,121,5290,4397,893,0.8311909262759924,0.16880907372400755,0.20309301796679555,109,0.9008264462809917
