variant,source_model,macro_delta_f1,micro_delta_f1,modification_precision,correct_pair_preservation
R1_R3,rnafold,-0.001425888914721507,-0.0007843370335502975,0.46153846153846156,0.9952477936184657
R1_R3,petfold,0.0014543395358700417,0.0013818411672782416,0.8,0.9986329460013671
R1_R3,trrosettarna2_native_ss,0.004893933642532766,0.011461126899625085,0.8313253012048193,0.9904175222450377
