variant,fold,seed,mode,delete_precision,delete_recall,delete_f1,auroc,auprc,tp,fp,fn
MODEL_SPECIFIC_RNAFOLD,0,17,LEARNED_UNGATED,0.14893617021276595,0.3888888888888889,0.2153846153846154,0.63745055735347,0.1713665607360971,14,80,22
MODEL_SPECIFIC_RNAFOLD,0,17,LEARNED_SELECTIVE,0.0,0.0,0.0,0.63745055735347,0.1713665607360971,0,1,36
MODEL_SPECIFIC_RNAFOLD,0,29,LEARNED_UNGATED,0.14705882352941177,0.4166666666666667,0.21739130434782608,0.6455411722402014,0.17153295980614588,15,87,21
MODEL_SPECIFIC_RNAFOLD,0,29,LEARNED_SELECTIVE,0.2,0.08333333333333333,0.11764705882352941,0.6455411722402014,0.17153295980614588,3,12,33
MODEL_SPECIFIC_RNAFOLD,0,41,LEARNED_UNGATED,0.16346153846153846,0.4722222222222222,0.24285714285714285,0.6597446961524631,0.17921419936634428,17,87,19
MODEL_SPECIFIC_RNAFOLD,0,41,LEARNED_SELECTIVE,0.16666666666666666,0.05555555555555555,0.08333333333333333,0.6597446961524631,0.17921419936634428,2,10,34
MODEL_SPECIFIC_RNAFOLD,0,53,LEARNED_UNGATED,0.1650485436893204,0.4722222222222222,0.2446043165467626,0.6424847177274362,0.17057278112593355,17,86,19
MODEL_SPECIFIC_RNAFOLD,0,53,LEARNED_SELECTIVE,0.3333333333333333,0.027777777777777776,0.05128205128205128,0.6424847177274362,0.17057278112593355,1,2,35
MODEL_SPECIFIC_RNAFOLD,0,67,LEARNED_UNGATED,0.16346153846153846,0.4722222222222222,0.24285714285714285,0.6388888888888888,0.16884826692270216,17,87,19
MODEL_SPECIFIC_RNAFOLD,0,67,LEARNED_SELECTIVE,0.0,0.0,0.0,0.6388888888888888,0.16884826692270216,0,1,36
MODEL_SPECIFIC_RNAFOLD,1,17,LEARNED_UNGATED,0.3076923076923077,0.48484848484848486,0.3764705882352941,0.7328843995510662,0.30314626896127284,16,36,17
MODEL_SPECIFIC_RNAFOLD,1,29,LEARNED_UNGATED,0.265625,0.5151515151515151,0.35051546391752575,0.7441077441077442,0.32071426511352713,17,47,16
MODEL_SPECIFIC_RNAFOLD,1,29,LEARNED_SELECTIVE,0.0,0.0,0.0,0.7441077441077442,0.32071426511352713,0,0,33
MODEL_SPECIFIC_RNAFOLD,1,41,LEARNED_UNGATED,0.2857142857142857,0.48484848484848486,0.3595505617977528,0.7332585110362888,0.3149721873880764,16,40,17
MODEL_SPECIFIC_RNAFOLD,1,53,LEARNED_UNGATED,0.3090909090909091,0.5151515151515151,0.38636363636363635,0.7467265245043023,0.3147064066191776,17,38,16
MODEL_SPECIFIC_RNAFOLD,1,67,LEARNED_UNGATED,0.3114754098360656,0.5757575757575758,0.40425531914893614,0.7482229704451927,0.2956277400637516,19,42,14
MODEL_SPECIFIC_RNAFOLD,2,17,LEARNED_UNGATED,0.4175257731958763,0.826530612244898,0.5547945205479452,0.8181528293135436,0.5337900930339831,81,113,17
MODEL_SPECIFIC_RNAFOLD,2,17,LEARNED_SELECTIVE,0.7142857142857143,0.05102040816326531,0.09523809523809523,0.8181528293135436,0.5337900930339831,5,2,93
MODEL_SPECIFIC_RNAFOLD,2,29,LEARNED_UNGATED,0.39215686274509803,0.8163265306122449,0.5298013245033113,0.812297077922078,0.5313954819000786,80,124,18
MODEL_SPECIFIC_RNAFOLD,2,29,LEARNED_SELECTIVE,1.0,0.02040816326530612,0.04,0.812297077922078,0.5313954819000786,2,0,96
MODEL_SPECIFIC_RNAFOLD,2,41,LEARNED_UNGATED,0.375,0.826530612244898,0.5159235668789809,0.8188775510204082,0.5472716318484517,81,135,17
MODEL_SPECIFIC_RNAFOLD,2,53,LEARNED_UNGATED,0.40932642487046633,0.8061224489795918,0.5429553264604811,0.8089633580705009,0.5265243699853055,79,114,19
MODEL_SPECIFIC_RNAFOLD,2,53,LEARNED_SELECTIVE,0.7777777777777778,0.07142857142857142,0.1308411214953271,0.8089633580705009,0.5265243699853055,7,2,91
MODEL_SPECIFIC_RNAFOLD,2,67,LEARNED_UNGATED,0.3978494623655914,0.7551020408163265,0.5211267605633803,0.8020640074211502,0.5109507272323496,74,112,24
MODEL_SPECIFIC_RNAFOLD,2,67,LEARNED_SELECTIVE,0.6666666666666666,0.08163265306122448,0.14545454545454545,0.8020640074211502,0.5109507272323496,8,4,90
MODEL_SPECIFIC_RNAFOLD,3,17,LEARNED_UNGATED,0.16666666666666666,0.4666666666666667,0.24561403508771928,0.8130081300813008,0.17817164460405754,7,35,8
MODEL_SPECIFIC_RNAFOLD,3,17,LEARNED_SELECTIVE,0.0,0.0,0.0,0.8130081300813008,0.17817164460405754,0,0,15
MODEL_SPECIFIC_RNAFOLD,3,29,LEARNED_UNGATED,0.20512820512820512,0.5333333333333333,0.2962962962962963,0.8041811846689896,0.1878885671793899,8,31,7
MODEL_SPECIFIC_RNAFOLD,3,29,LEARNED_SELECTIVE,0.0,0.0,0.0,0.8041811846689896,0.1878885671793899,0,1,15
MODEL_SPECIFIC_RNAFOLD,3,41,LEARNED_UNGATED,0.16279069767441862,0.4666666666666667,0.2413793103448276,0.8197444831591173,0.17226683671631762,7,36,8
MODEL_SPECIFIC_RNAFOLD,3,41,LEARNED_SELECTIVE,0.0,0.0,0.0,0.8197444831591173,0.17226683671631762,0,0,15
