epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.28621958402832587,0.2547203932253529,0.8401250760450178
1,0.06963115027871111,0.33820857972725055,0.8493524053719788
2,0.035542156269863595,0.5044020859935949,0.8222945368194795
3,0.023727216219138106,0.5274867751314307,0.8386368144703218
4,0.021905179991281807,0.6208647096088532,0.8143536101516232
5,0.016702098826582485,0.6380872310870319,0.83295029893025
6,0.012911294285572385,0.6321342895374122,0.8457405832089204
7,0.013337261323690914,0.7709472493542463,0.8261570658417751
8,0.010223528511074574,0.8615012441556162,0.8047324775168792
9,0.01105572015568658,0.8045363255302926,0.819669868955924
10,0.008076278881363707,0.7988561641106575,0.8253015649432385
11,0.01015285226771348,0.916320987723771,0.82516411953856
12,0.008812655692168738,0.8872467663020998,0.8134195499175909
