epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.3570207657727525,0.3489786226830182,0.8506917276176091
1,0.11994840762917958,0.4775673834971355,0.8216837088791196
2,0.06879168066882492,0.5619689271868639,0.8109509109849478
3,0.055054320481831794,0.646123895895566,0.8053374270789648
4,0.042865184092400026,0.6860504870742223,0.8125359053843898
5,0.03662408550445185,0.7310780708846595,0.80167613898938
6,0.0343229426365861,0.7828533732923991,0.792118720927737
7,0.03520326771163075,0.8195656304873465,0.7998746809827694
8,0.027807853804677388,0.8634746152541105,0.8042356948891431
9,0.026981872847998543,0.8987394755570473,0.7960830135619293
10,0.02607543804672232,0.9332207733421051,0.8136970148498676
11,0.028968829148852366,1.0097144523578145,0.8049178042000372
12,0.02588921651852374,1.0236060638705085,0.7991918745907126
