condition,track,scope,metric,mean,population_sd,min,max,n
ERN,combined,LOCAL_CONFLICT,opportunity_count,5978.0,0.0,5978.0,5978.0,5
ERN,combined,LOCAL_CONFLICT,deleted_pair_count,4862.4,157.06890207803707,4589.0,5072.0,5
ERN,combined,LOCAL_CONFLICT,removed_fp,4862.4,157.06890207803707,4589.0,5072.0,5
ERN,combined,LOCAL_CONFLICT,lost_tp,0.0,0.0,0.0,0.0,5
ERN,combined,LOCAL_CONFLICT,tp_preservation,,,,,0
ERN,combined,LOCAL_CONFLICT,fp_removal,0.8133824021411844,0.026274490143532496,0.7676480428236868,0.8484442957510874,5
ERN,combined,LOCAL_CONFLICT,modification_precision,1.0,0.0,1.0,1.0,5
ERN,combined,LOCAL_CONFLICT,coverage,0.8133824021411844,0.026274490143532496,0.7676480428236868,0.8484442957510874,5
ERN,combined,LOCAL_CONFLICT,delta_f1,0.006972514202383606,0.00022701940841306258,0.006577417286042997,0.007275550982505985,5
ERN,combined,NON_EVIDENCED,opportunity_count,284250.0,0.0,284250.0,284250.0,5
ERN,combined,NON_EVIDENCED,deleted_pair_count,21704.2,835.6146001596669,20526.0,22901.0,5
ERN,combined,NON_EVIDENCED,removed_fp,19016.4,728.0680188004415,18129.0,19997.0,5
ERN,combined,NON_EVIDENCED,lost_tp,2687.8,186.4654391569655,2397.0,2904.0,5
ERN,combined,NON_EVIDENCED,tp_preservation,0.9888014399220042,0.0007768972478864054,0.9879006553811669,0.9900130409602813,5
ERN,combined,NON_EVIDENCED,fp_removal,0.42987544363315777,0.016458349770564047,0.40981531297330287,0.45204240793905553,5
ERN,combined,NON_EVIDENCED,modification_precision,0.8761965109183929,0.006605404081615865,0.8695372455309959,0.8849975273119634,5
ERN,combined,NON_EVIDENCED,coverage,0.07635602462620933,0.002939717150957494,0.07221108179419525,0.08056640281442393,5
ERN,combined,NON_EVIDENCED,delta_f1,0.0228117036860374,0.0009782932390038906,0.021699200316152467,0.024072410936503696,5
B4_EVIDENCE_MASKED,positive_pair,DIRECT,opportunity_count,20610.0,0.0,20610.0,20610.0,5
B4_EVIDENCE_MASKED,positive_pair,DIRECT,deleted_pair_count,123.2,22.426769718352215,97.0,161.0,5
B4_EVIDENCE_MASKED,positive_pair,DIRECT,removed_fp,0.0,0.0,0.0,0.0,5
B4_EVIDENCE_MASKED,positive_pair,DIRECT,lost_tp,123.2,22.426769718352215,97.0,161.0,5
B4_EVIDENCE_MASKED,positive_pair,DIRECT,tp_preservation,0.994022319262494,0.0010881499135542054,0.9921882581271227,0.995293546821931,5
B4_EVIDENCE_MASKED,positive_pair,DIRECT,fp_removal,,,,,0
B4_EVIDENCE_MASKED,positive_pair,DIRECT,modification_precision,0.0,0.0,0.0,0.0,5
B4_EVIDENCE_MASKED,positive_pair,DIRECT,coverage,0.005977680737506065,0.0010881499135542076,0.004706453178068898,0.007811741872877244,5
B4_EVIDENCE_MASKED,positive_pair,DIRECT,delta_f1,-0.00047072931182821074,8.5727303757776e-05,-0.0006152277762874192,-0.00037058495983866013,5
B4_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,opportunity_count,1357.0,0.0,1357.0,1357.0,5
B4_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,deleted_pair_count,339.4,16.0822883943797,309.0,357.0,5
B4_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,removed_fp,339.4,16.0822883943797,309.0,357.0,5
B4_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,lost_tp,0.0,0.0,0.0,0.0,5
B4_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,tp_preservation,,,,,0
B4_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,fp_removal,0.2501105379513633,0.011851354748990196,0.22770817980840088,0.2630803242446573,5
B4_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,modification_precision,1.0,0.0,1.0,1.0,5
B4_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,coverage,0.2501105379513633,0.011851354748990196,0.22770817980840088,0.2630803242446573,5
B4_EVIDENCE_MASKED,positive_pair,LOCAL_CONFLICT,delta_f1,0.0009996411334673994,4.74189773280418e-05,0.0009100074698323857,0.001051538662384388,5
B4_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,opportunity_count,130171.0,0.0,130171.0,130171.0,5
B4_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,deleted_pair_count,9870.4,409.2606015731297,9308.0,10533.0,5
B4_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,removed_fp,9012.8,267.24475673060454,8630.0,9387.0,5
B4_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,lost_tp,857.6,157.26232861050988,678.0,1146.0,5
B4_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,tp_preservation,0.9920668251574887,0.0014547452763615356,0.9893989991027076,0.9937282036576228,5
B4_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,fp_removal,0.40841036795359803,0.012110057854386647,0.39106398404930215,0.42536704730831976,5
B4_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,modification_precision,0.9135747185410088,0.012254374343117541,0.8911990885787525,0.927159432746025,5
B4_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,coverage,0.07582641294912076,0.0031440228743201573,0.07150594218374293,0.08091664041914097,5
B4_EVIDENCE_MASKED,positive_pair,NON_EVIDENCED,delta_f1,0.024042261149211354,0.0004533606998803854,0.023540168595751587,0.02483086221966002,5
B4_EVIDENCE_MASKED,unpaired,DIRECT,opportunity_count,0.0,0.0,0.0,0.0,5
B4_EVIDENCE_MASKED,unpaired,DIRECT,deleted_pair_count,0.0,0.0,0.0,0.0,5
B4_EVIDENCE_MASKED,unpaired,DIRECT,removed_fp,0.0,0.0,0.0,0.0,5
B4_EVIDENCE_MASKED,unpaired,DIRECT,lost_tp,0.0,0.0,0.0,0.0,5
B4_EVIDENCE_MASKED,unpaired,DIRECT,tp_preservation,,,,,0
B4_EVIDENCE_MASKED,unpaired,DIRECT,fp_removal,,,,,0
B4_EVIDENCE_MASKED,unpaired,DIRECT,modification_precision,,,,,0
B4_EVIDENCE_MASKED,unpaired,DIRECT,coverage,,,,,0
B4_EVIDENCE_MASKED,unpaired,DIRECT,delta_f1,0.0,0.0,0.0,0.0,5
B4_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,opportunity_count,4621.0,0.0,4621.0,4621.0,5
B4_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,deleted_pair_count,2022.4,115.7455830690744,1813.0,2150.0,5
B4_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,removed_fp,2022.4,115.7455830690744,1813.0,2150.0,5
B4_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,lost_tp,0.0,0.0,0.0,0.0,5
B4_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,tp_preservation,,,,,0
B4_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,fp_removal,0.4376541874053236,0.02504773492081246,0.3923393204933997,0.4652672581692274,5
B4_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,modification_precision,1.0,0.0,1.0,1.0,5
B4_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,coverage,0.4376541874053236,0.02504773492081246,0.3923393204933997,0.4652672581692274,5
B4_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,delta_f1,0.005605281544420637,0.0003227983701553017,0.005021380582894364,0.005961281944973251,5
B4_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,opportunity_count,154079.0,0.0,154079.0,154079.0,5
B4_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,deleted_pair_count,9173.6,637.4400677710807,8177.0,9850.0,5
B4_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,removed_fp,8039.6,473.21732850773753,7247.0,8530.0,5
B4_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,lost_tp,1134.0,246.94938752708012,930.0,1530.0,5
B4_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,tp_preservation,0.9914032294746418,0.001872105128702001,0.9884011826245167,0.9929497384580396,5
B4_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,fp_removal,0.36265054806261,0.021345903221062626,0.32689792051964456,0.3847715278091028,5
B4_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,modification_precision,0.8772313810522661,0.020337548099189494,0.8428674129608709,0.897807110921865,5
B4_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,coverage,0.05953828879990135,0.004137098941264421,0.0530701782851654,0.06392824460179518,5
B4_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,delta_f1,0.01848075589380833,0.0011915601312648986,0.016953747525561003,0.020278389890054593,5
B4_EVIDENCE_MASKED,combined,DIRECT,opportunity_count,20610.0,0.0,20610.0,20610.0,5
B4_EVIDENCE_MASKED,combined,DIRECT,deleted_pair_count,123.2,22.426769718352215,97.0,161.0,5
B4_EVIDENCE_MASKED,combined,DIRECT,removed_fp,0.0,0.0,0.0,0.0,5
B4_EVIDENCE_MASKED,combined,DIRECT,lost_tp,123.2,22.426769718352215,97.0,161.0,5
B4_EVIDENCE_MASKED,combined,DIRECT,tp_preservation,0.994022319262494,0.0010881499135542054,0.9921882581271227,0.995293546821931,5
B4_EVIDENCE_MASKED,combined,DIRECT,fp_removal,,,,,0
B4_EVIDENCE_MASKED,combined,DIRECT,modification_precision,0.0,0.0,0.0,0.0,5
B4_EVIDENCE_MASKED,combined,DIRECT,coverage,0.005977680737506065,0.0010881499135542076,0.004706453178068898,0.007811741872877244,5
B4_EVIDENCE_MASKED,combined,DIRECT,delta_f1,-0.00023184331953487458,4.221282016526598e-05,-0.00030299394499611054,-0.00018252984400946026,5
B4_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,opportunity_count,5978.0,0.0,5978.0,5978.0,5
B4_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,deleted_pair_count,2361.8,131.52246956318908,2122.0,2507.0,5
B4_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,removed_fp,2361.8,131.52246956318908,2122.0,2507.0,5
B4_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,lost_tp,0.0,0.0,0.0,0.0,5
B4_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,tp_preservation,,,,,0
B4_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,fp_removal,0.3950819672131147,0.022001082228703433,0.3549682167949147,0.41937102709936436,5
B4_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,modification_precision,1.0,0.0,1.0,1.0,5
B4_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,coverage,0.3950819672131147,0.022001082228703433,0.3549682167949147,0.41937102709936436,5
B4_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,delta_f1,0.0033727073837375387,0.0001885137765224654,0.0030290256492683243,0.0035808751209800427,5
B4_EVIDENCE_MASKED,combined,NON_EVIDENCED,opportunity_count,284250.0,0.0,284250.0,284250.0,5
B4_EVIDENCE_MASKED,combined,NON_EVIDENCED,deleted_pair_count,19044.0,1011.2977800826026,17485.0,20270.0,5
B4_EVIDENCE_MASKED,combined,NON_EVIDENCED,removed_fp,17052.4,689.8001449695412,15877.0,17762.0,5
B4_EVIDENCE_MASKED,combined,NON_EVIDENCED,lost_tp,1991.6,388.37435548707384,1608.0,2676.0,5
B4_EVIDENCE_MASKED,combined,NON_EVIDENCED,tp_preservation,0.9917021161353761,0.0016181388320093853,0.9888506039256207,0.9933003628970097,5
B4_EVIDENCE_MASKED,combined,NON_EVIDENCED,fp_removal,0.385478219589936,0.015593284919174919,0.3589077016976739,0.40151909035422834,5
B4_EVIDENCE_MASKED,combined,NON_EVIDENCED,modification_precision,0.8960837097873547,0.015219162108908642,0.8679822397631969,0.908035458964827,5
B4_EVIDENCE_MASKED,combined,NON_EVIDENCED,coverage,0.06699736147757256,0.0035577758314251627,0.06151275285839929,0.07131046613896218,5
B4_EVIDENCE_MASKED,combined,NON_EVIDENCED,delta_f1,0.02117559070486812,0.0006991854973103834,0.020140372837924914,0.021940017144925328,5
