condition,track,metric,mean,population_sd,min,max,n
ERN,positive_pair,event_tp_preservation,0.9902480712903902,0.0008101090683320572,0.9891463954689892,0.9913761624699914,5
ERN,positive_pair,event_fp_removal,0.48743649946638207,0.019822472832784956,0.46053361792956243,0.504332977588047,5
ERN,positive_pair,event_modification_precision,0.9010586532881408,0.005416876729651321,0.8938772409601945,0.9079311404857056,5
ERN,positive_pair,event_coverage,0.08330200212964545,0.0035702538520081266,0.078205313596866,0.08652670601690571,5
ERN,positive_pair,event_delta_f1,0.030088890559346403,0.0012229013435952,0.028621486507434013,0.03156923323862826,5
ERN,positive_pair,event_resulting_precision,0.9139194236978107,0.0029925337361432374,0.9098901882487165,0.9165432773169645,5
ERN,positive_pair,event_resulting_recall,0.8871566784993388,0.0007257713406572194,0.8861696944386441,0.8881673279042249,5
ERN,positive_pair,event_resulting_f1,0.9003358074784291,0.0012229013435952,0.8988684034265166,0.9018161501577109,5
ERN,positive_pair,event_lost_tp,1255.2,104.27156851222676,1110.0,1397.0,5
ERN,positive_pair,event_removed_fp,11418.2,464.34142610798796,10788.0,11814.0,5
ERN,positive_pair,rna_tp_preservation,0.9902044538301162,0.00239746207776004,0.9857874587948433,0.9926077032825481,5
ERN,positive_pair,rna_fp_removal,0.6578880092085806,0.011359657189511362,0.6404972865819786,0.6748448540090348,5
ERN,positive_pair,rna_modification_precision,0.9405215156795972,0.007741737526694242,0.9313082484158792,0.9527234485812147,5
ERN,positive_pair,rna_coverage,0.08359384359596865,0.002732385289363152,0.08011854851626908,0.0867399107939803,5
ERN,positive_pair,rna_delta_f1,0.02722946876322006,0.0008228803279492319,0.026122863954012813,0.028365449089366734,5
ERN,positive_pair,rna_resulting_precision,0.9170954738668875,0.0015671293659998767,0.9150930279110856,0.9199113337047726,5
ERN,positive_pair,rna_resulting_recall,0.9054971917062578,0.0008044057343082072,0.9041190376823287,0.9065841132188814,5
ERN,positive_pair,rna_resulting_f1,0.9058647651953133,0.0008228803279491725,0.9047581603861063,0.9070007455214601,5
ERN,unpaired,event_tp_preservation,0.9891304677431583,0.0013344446129986436,0.9870593586536275,0.9908346599954514,5
ERN,unpaired,event_fp_removal,0.46512131392310563,0.017933403711113443,0.44531541620007464,0.4947741694662187,5
