condition,track,source,metric,mean,population_sd,min,max,n
ERN,positive_pair,rnafold,event_auprc,0.6018649104458554,0.019853804503821283,0.5696875795588214,0.6293049013079977,5
ERN,positive_pair,rnafold,event_auroc,0.8917357775867627,0.0020764891415779784,0.889068758711227,0.8952497413745472,5
ERN,positive_pair,rnafold,event_brier,0.06531021058277948,0.0018895652427785758,0.062222232810896144,0.06818268844282593,5
ERN,positive_pair,rnafold,event_ece,0.017475021889417335,0.002657091404666129,0.013584155822645112,0.020697858267215406,5
ERN,positive_pair,rnafold,rna_auprc,0.6965806271724068,0.009352092965061887,0.6849496737568507,0.7074453370990964,5
ERN,positive_pair,rnafold,rna_auroc,0.8368704264173077,0.0073464583543923516,0.8270448115716573,0.847683267121521,5
ERN,positive_pair,rnafold,rna_brier,0.05770748803619802,0.001270077263827464,0.05611382905300006,0.05948179998695272,5
ERN,positive_pair,rnafold,rna_ece,0.09816816590870393,0.0020011660496724376,0.09564549465076932,0.10099429198786772,5
ERN,positive_pair,rnafold,event_tp_preservation,0.9901575261186217,0.0015702196820441792,0.988202992298206,0.9920887916792703,5
ERN,positive_pair,rnafold,event_fp_removal,0.2118437334276118,0.03931097640653463,0.16528195156443345,0.26586529962877853,5
ERN,positive_pair,rnafold,event_modification_precision,0.7381969073326069,0.005590451674612018,0.7321565617805065,0.747886623570363,5
ERN,positive_pair,rnafold,event_coverage,0.03333881646584694,0.005955650277955723,0.026216227330674014,0.041349673068223874,5
ERN,positive_pair,rnafold,event_delta_f1,0.006303600958415867,0.0013223627197282769,0.004780935063976144,0.008218790442898527,5
ERN,positive_pair,rnafold,event_resulting_precision,0.9051871272590178,0.00414572449989891,0.900293502818894,0.9109237929777149,5
ERN,positive_pair,rnafold,event_resulting_recall,0.8885779912299018,0.0014091319957237987,0.886823971601587,0.8903111296721654,5
ERN,positive_pair,rnafold,event_resulting_f1,0.896797156965212,0.001322362719728277,0.8952744910707724,0.8987123464496948,5
ERN,positive_pair,rnafold,event_lost_tp,423.0,67.48333127521195,340.0,507.0,5
ERN,positive_pair,rnafold,event_removed_fp,1198.4,222.38219353176638,935.0,1504.0,5
ERN,positive_pair,rnafold,rna_tp_preservation,0.9909547279197157,0.0025550561000563686,0.987425528878457,0.9936657040663405,5
ERN,positive_pair,rnafold,rna_fp_removal,0.19385899545884738,0.02928296454764961,0.14862175683278442,0.23056349208490334,5
ERN,positive_pair,rnafold,rna_modification_precision,0.6958246012024094,0.016152398369602517,0.6728082266939899,0.7133879806017958,5
ERN,positive_pair,rnafold,rna_coverage,0.02445312051145017,0.005131391375091098,0.017144021497391727,0.030417510489791764,5
ERN,positive_pair,rnafold,rna_delta_f1,0.0019116875269497187,0.0005948546348901919,0.0009342713021960436,0.0025929984525016403,5
ERN,positive_pair,rnafold,rna_resulting_precision,0.9178052622273529,0.0018405353638042171,0.9148562593000884,0.9198163950621598,5
ERN,positive_pair,rnafold,rna_resulting_recall,0.9079487113413691,0.0014602764313821383,0.9061258617260988,0.9096759837403875,5
ERN,positive_pair,rnafold,rna_resulting_f1,0.9152777795341388,0.0005948546348901384,0.9143003633093852,0.9159590904596906,5
ERN,positive_pair,petfold,event_auprc,0.6732819860611237,0.016438884868227335,0.6479673878342572,0.6961180077612756,5
ERN,positive_pair,petfold,event_auroc,0.9059966538832651,0.001810694631941672,0.903770023100751,0.9089809398674549,5
ERN,positive_pair,petfold,event_brier,0.06421358080593685,0.0019209352936763956,0.06112354657470176,0.0671526853896816,5
ERN,positive_pair,petfold,event_ece,0.01786265902410521,0.0022009238128261896,0.014287016255883795,0.02000926377593409,5
ERN,positive_pair,petfold,rna_auprc,0.7603228959476704,0.00340360793763495,0.754784115147232,0.7640388247749399,5
ERN,positive_pair,petfold,rna_auroc,0.8663487178452591,0.0044757663881815415,0.8594299373196559,0.8721230163741774,5
ERN,positive_pair,petfold,rna_brier,0.057157776524946045,0.0012432703968724913,0.05565919093017191,0.05882815751550289,5
ERN,positive_pair,petfold,rna_ece,0.09709705608961146,0.0017580896454194217,0.09431428007437045,0.09962064269899269,5
ERN,positive_pair,petfold,event_tp_preservation,0.9918294682595455,0.0012111629246836673,0.9901850550480206,0.9932536893886156,5
