epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.2847534269345689,0.420104090084927,0.7463463089363268
1,0.06560040307595189,0.7087379809222346,0.7362462667796031
2,0.020501426188011106,0.8991280867092026,0.7246047239038017
3,0.013188793790740255,0.9950093190673457,0.7225001771041019
4,0.006516635443843034,1.117673256300826,0.7209219872177547
5,0.004614064388270748,1.2069348492685146,0.7241355786796716
6,0.013630648461750184,1.0472064158425358,0.727650801287533
7,0.005450418516344267,1.2916099544559794,0.7109780463420835
8,0.0021057105636694126,1.4579006432003896,0.714708519568648
9,0.001193216674667016,1.5243270804817886,0.7200772852876772
10,0.006624288440847173,1.5235643284588882,0.7176405495329105
11,0.004680136020432585,1.6042865334174048,0.714460498447205
12,0.0005215062238134499,1.7575248298080137,0.7131150917144707
