metric,value
macro_delta_f1,0.020907139577658326
micro_delta_f1,0.03260866853342492
modification_precision,0.8603351955307262
delete_recall,0.4375
correct_pair_preservation,0.9760765550239234
modified_pair_count,179
modified_rna_count,34
